Title,Publisher,Developer,Other Sales,Release Date,Last Update,Year
République,GungHo Online Entertainment,Camouflaj,10000,2016-03-22,2018-04-15,2016.0
Bullet Girls: Phantasia,Experience Inc.,Shade,20000,2018-08-09,2019-03-23,2018.0
Prince of Stride,Kadokawa Games,Kadokawa Games,20000,2015-07-30,2019-05-02,2015.0
Resident Evil: Value Pack,Capcom,Capcom,20000,2016-09-29,2018-09-04,2016.0
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,Namco Bandai Games,Unknown,20000,2016-04-21,2018-09-20,2016.0
PaRappa the Rapper Remastered,Sony Interactive Entertainment,SIE Japan Studio,20000,2017-04-04,2018-09-24,2017.0
Labyrinth of Refrain: Coven of Dusk,NIS America,Nippon Ichi Software,10000,2018-09-18,2018-11-11,2018.0
Manga-ka Debut Monogatari: Suteki na Manga o Egakou,Nippon Columbia,Nippon Columbia,20000,2017-03-16,2018-08-06,2017.0
Samurai Warriors: Sanada Maru,Tecmo Koei,Omega Force,20000,2016-11-23,2018-07-09,2016.0
Zero Escape The Nonary Games,Aksys Games,Spike Chunsoft,10000,2017-03-24,2018-09-19,2017.0
Phantasy Star Online 2 Episode 4: Deluxe Package,Sega,Sega,20000,2017-04-20,2018-09-18,2017.0
Super Run For Money Tousouchuu & Sentouchuu,Bandai Namco Games,Bandai Namco Games,20000,2018-11-29,2019-01-05,2018.0
Dynamic Chord feat. Reve Parfait: V Edition,honeybee,Unknown,20000,2016-09-29,2018-02-21,2016.0
Akogare Girls Collection: Pika Pika Nurse Monogatari - Shounika Haitsumo Oosawagi,Nippon Columbia,Nippon Columbia,20000,2016-11-10,2018-08-03,2016.0
Sousaku Alice to Oujisama!,Happinet,Happinet,20000,2015-11-26,2018-08-03,2015.0
The Guided Fate: Cross Thesis Awakening,NIS America,Nippon Ichi Software,20000,2015-03-17,2019-05-03,2015.0
Collar x Malice: Unlimited,Idea Factory,Idea Factory,20000,2018-07-26,2018-08-25,2018.0
The Legend of Heroes: Trails of Cold Steel II Kai - The Erebonian Civil War,Xseed Games,Nihon Falcom Corporation,20000,2019-03-19,2018-05-20,2019.0
The Three Kingdoms Love Story ~ The Art of Otome!,Prototype,Prototype,20000,2016-02-04,2019-04-26,2016.0
SaGa: Scarlet Grace,Square Enix,Square Enix,20000,2019-12-03,2018-08-26,2019.0
Steins;Gate Elite,Spike Chunsoft,5pb. Inc.,20000,2019-02-19,2018-11-06,2019.0
428: Shibuya Scramble,Spike Chunsoft,Abstraction Games,10000,2018-09-04,2018-09-26,2018.0
Dance with Devils,Rejet,Rejet,20000,2016-03-24,2019-05-03,2016.0
Neo Atlas 1469,ArtDink,ArtDink,20000,2016-10-27,2018-04-26,2016.0
Undertale,8-4,Toby Fox,20000,2018-09-18,2018-09-26,2018.0
Crystar,Spike Chunsoft,FuRyu,20000,2019-08-27,2019-04-07,2019.0
The Liar Princess and the Blind Prince,NIS America,Nippon Ichi Software,20000,2019-03-30,2018-06-06,2019.0
Cats Together,Bandai Namco Games,Bandai Namco Games,20000,2018-11-01,2018-11-07,2018.0
No Heroes Allowed! VR,Sony Interactive Entertainment,Acquire,20000,2017-10-17,2018-01-10,2017.0
Cats Together,Bandai Namco Games,Bandai Namco Games,20000,2018-11-21,2018-11-07,2018.0
Border Break,Sega,Sega,20000,2018-08-02,2018-08-26,2018.0
Touhou Genso Wanderer Reloaded,NIS America,AQUA STYLE,10000,2018-07-17,2019-03-18,2018.0
Cladun Returns: This Is Sengoku!,Nippon Ichi Software,Nippon Ichi Software,20000,2017-05-26,2018-09-20,2017.0
Harukanaru Toki no Naka de 6,Tecmo Koei,Ruby Party,20000,2015-03-12,2019-03-22,2015.0
Psychedelica of the Black Butterfly,Aksys Games,Otomate,20000,2018-03-27,2018-05-31,2018.0
Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,Sega,Sega CS3,20000,2018-02-15,2018-02-26,2018.0
Patapon Remastered,Sony Interactive Entertainment,SIE Japan Studio,20000,2017-08-01,2018-09-24,2017.0
Gal Gun 2,PQube,Inti Creates,10000,2018-04-24,2018-03-04,2018.0
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,5pb,MAGES,20000,2017-03-16,2019-03-22,2017.0
New Game! The Challenge Stage!,5pb,5pb. Inc.,20000,2017-01-26,2018-09-20,2017.0
Higurashi no Naku Koro ni Hou,Entergram,07th Expansion,20000,2018-07-26,2019-02-03,2018.0
Date-A-Live Twin Edition: Rio Reincarnation,Compile Heart,Unknown,20000,2015-07-30,2018-02-21,2015.0
Digimon Universe: Appli Monsters,Namco Bandai Games,Bandai Namco Games,20000,2016-12-01,2018-07-25,2016.0
Kobito Game Taizen,Nippon Columbia,Nippon Columbia,20000,2016-10-06,2018-08-03,2016.0
Beyblade Burst: Battle Zero,FuRyu Corporation,FuRyu,20000,2018-10-25,2018-11-07,2018.0
Winning Post 8 2018,Koei Tecmo,Koei Tecmo Games,20000,2018-03-15,2018-07-30,2018.0
Kunio-kun Nekketsu: Complete Famicom Edition,Arc System Works,Arc System Works,20000,2016-12-08,2018-08-06,2016.0
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,5pb,MAGES,20000,2017-03-16,2018-09-20,2017.0
Psycho-Pass: Mandatory Happiness,5pb,5pb. Inc.,20000,2015-01-01,2018-09-11,2015.0
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,Namco Bandai Games,Bandai Namco Games,20000,2016-03-24,2018-09-20,2016.0
Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,Square Enix,Square Enix,20000,2017-11-16,2017-12-29,2017.0
Genkai Tokki: Castle Panzers,Compile Heart,Compile Heart,20000,2017-09-28,2018-09-20,2017.0
Diabolik Lovers: Lost Eden,Idea Factory,Unknown,20000,2017-02-16,2018-02-21,2017.0
Shin Atelier Rorona: Hajimari no Monogatari,Koei Tecmo,Gust,20000,2015-06-04,2018-08-06,2015.0
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,5pb,MAGES,20000,2017-03-30,2018-09-21,2017.0
Fuuraiki 3,Nippon Ichi Software,Nippon Ichi Software,20000,2015-02-19,2019-05-17,2015.0
Persona 5: Dancing in Starlight,Atlus,Atlus,20000,2018-12-04,2018-08-13,2018.0
