Title,Publisher,Developer,Other Sales,Release Date,Last Update,Year
Nintendo Labo: Toy-Con 02 Robot Kit,Nintendo,Nintendo EPD,80000,2018-04-20,2018-11-18,2018.0
Mega Man 11,Capcom,Capcom,30000,2018-10-02,2018-09-12,2018.0
Dragon Ball Z: Extreme Butoden,Namco Bandai Games,Arc System Works,170000,2015-10-20,2018-01-17,2015.0
Dead or Alive 5 Last Round,Tecmo Koei,Team Ninja,90000,2015-02-17,2018-11-20,2015.0
Gravity Rush 2,Sony Interactive Entertainment,SIE Japan Studio,130000,2017-01-20,2018-02-09,2017.0
World of Final Fantasy,Square Enix,Square Enix,90000,2016-10-25,2018-05-23,2016.0
NBA 2K17,2K Sports,Visual Concepts,20000,2016-09-16,2018-03-28,2016.0
The King of Fighters XIV,Atlus,SNK Playmore,60000,2016-08-23,2018-05-30,2016.0
Valkyria Chronicles Remastered,Sega,Sega,80000,2016-05-17,2018-09-11,2016.0
Kirby: Battle Royale,Nintendo,HAL Laboratory,200000,2018-01-19,2018-01-03,2018.0
Tokyo Mirage Sessions #FE,Nintendo,Atlus,80000,2016-06-24,2020-07-23,2016.0
Chibi-Robo! Zip Lash,Nintendo,Nintendo,70000,2015-10-09,2018-01-14,2015.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,10000,2016-01-26,2018-04-06,2016.0
Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,Avalanche Software,20000,2017-06-13,2018-02-25,2017.0
Puzzle & Dragons X: God Chapter / Dragon Chapter,GungHo Online Entertainment,GungHo Online Entertainment,320000,2016-07-28,2018-07-17,2016.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,310000,2016-10-11,2018-01-11,2016.0
UEFA Euro 2016,Konami Digital Entertainment,Konami Digital Entertainment,50000,2016-04-21,2018-05-03,2016.0
Sonic ManiaRead the review,Sega,PagodaWest Games,10000,2017-08-15,2018-08-15,2017.0
LEGO Ninjago: Shadow of Ronin,Warner Bros. Interactive Entertainment,TT Fusion,50000,2015-03-24,2018-01-26,2015.0
Resident Evil: Revelations 2Read the review,Capcom,Capcom,170000,2015-02-24,2018-04-15,2015.0
Cities: Skylines,Koch Media,Colossal Order,40000,2017-08-15,2018-04-22,2017.0
Monopoly for Nintendo Switch,Ubisoft,Engine Software,10000,2017-10-31,2019-01-28,2017.0
NBA 2K19,2K Sports,Visual Concepts,10000,2018-09-11,2018-06-08,2018.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,TT Fusion,30000,2016-01-26,2018-04-06,2016.0
My Hero One's Justice,Bandai Namco Entertainment,Byking,40000,2018-10-26,2018-09-12,2018.0
Sword Art Online: Fatal BulletRead the review,Namco Bandai Games,Dimps Corporation,130000,2018-02-23,2018-02-23,2018.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,20000,2016-06-28,2018-03-31,2016.0
Phoenix Wright: Ace Attorney: Spirit of Justice,Capcom,Capcom,290000,2016-09-30,2018-01-14,2016.0
Overcooked! 2Read the review,Sold Out,Ghost Town Games,10000,2018-08-07,2018-06-14,2018.0
The Legend of Legacy,Atlus,Cattle Call,110000,2015-10-13,2018-05-29,2015.0
Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,Avalanche Software,10000,2017-06-13,2018-01-14,2017.0
Metal Gear Solid V: The Definitive Experience,Konami Digital Entertainment,Kojima Productions,30000,2016-10-11,2018-05-29,2016.0
Ever Oasis,Nintendo,GREZZO,50000,2017-06-23,2018-01-14,2017.0
Culdcept,NIS America,OmiyaSoft,230000,2017-10-03,2018-04-02,2017.0
WarioWare Gold,Nintendo,Intelligent Systems,130000,2018-08-03,2018-11-18,2018.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,20000,2016-06-28,2018-03-31,2016.0
Onechanbara Z2: Chaos,NIS America,Tamsoft,50000,2015-07-21,2018-05-30,2015.0
Secret of Mana,Square Enix,Square,50000,2018-02-15,2018-02-26,2018.0
Gundam Versus,Namco Bandai Games,Namco Bandai Games,180000,2017-09-29,2018-01-12,2017.0
Etrian Mystery Dungeon,Atlus,Spike Chunsoft,140000,2015-04-07,2018-07-26,2015.0
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,80000,2016-09-13,2018-04-14,2016.0
Bravo Team,Sony Interactive Entertainment,Supermassive Games Ltd.,20000,2018-03-06,2018-09-11,2018.0
Etrian Odyssey V: Beyond the Myth,Atlus,Atlus,140000,2017-10-17,2018-01-15,2017.0
Driveclub VR,Sony Interactive Entertainment,Evolution Studios,10000,2016-10-13,2018-09-25,2016.0
Shenmue I & II,Sega,Sega,50000,2018-08-21,2018-12-19,2018.0
The Snack World: TreJarers,Level 5,Level 5,270000,2017-08-10,2018-05-29,2017.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,120000,2017-01-17,2018-01-13,2017.0
The World Ends with You: Final Remix,Nintendo,Square Enix,30000,2018-10-12,2019-03-30,2018.0
One Piece: Pirate Warriors 3,Tecmo Koei,Omega Force,200000,2015-08-25,2018-01-12,2015.0
Stella Glow,Atlus,imageepoch Inc.,60000,2015-11-17,2018-05-30,2015.0
Mega Man Legacy Collection,Capcom,Digital Eclipse Software,60000,2016-02-23,2018-05-29,2016.0
Sword Art Online: Hollow Realization,Namco Bandai Games,Aquria,160000,2018-01-01,2019-03-22,2018.0
The Legend of Heroes: Trails of Cold Steel II,Xseed Games,Nihon Falcom Corporation,130000,2016-09-06,2018-10-29,2016.0
Yakuza Zero: The Place of Oath,Sega,Sega,260000,2015-03-12,2018-01-03,2015.0
My Hero One's Justice,Bandai Namco Entertainment,Byking,60000,2018-10-26,2018-09-12,2018.0
Jikkyou Powerful Pro Baseball 2018,Konami,Konami,260000,2018-04-26,2018-05-20,2018.0
Tokyo JungleRead the review,Sony Computer Entertainment,PlayStation C.A.M.P.!,260000,2020-12-31,2018-05-25,2020.0
ReCore,Microsoft Studios,Armature Studio,10000,2016-09-13,2018-10-01,2016.0
Tetris Effect,Sony Interactive Entertainment,Monstars Inc.,10000,2018-11-09,2018-12-19,2018.0
Sonic Boom: Fire & Ice,Sega,Sanzaru Games,20000,2016-09-27,2020-08-07,2016.0
The Legend of Heroes: Trails of Cold Steel,Xseed Games,Nihon Falcom Corporation,140000,2015-12-22,2018-06-02,2015.0
Mega Man Legacy Collection 1+2,Capcom,Digital Eclipse Software,30000,2018-05-22,2018-07-04,2018.0
Sid Meier's Civilization VI,2K Games,Firaxis Games,10000,2018-11-16,2018-12-19,2018.0
Danganronpa V3: Killing Harmony,NIS America,Spike Chunsoft,70000,2017-09-26,2018-01-22,2017.0
Valkyria Chronicles 4Read the review,Sega,Sega,80000,2018-09-25,2018-06-19,2018.0
7th Dragon III Code: VFD,Sega,Sega,130000,2016-07-12,2018-04-20,2016.0
Toukiden: The Age of DemonsRead the review,Tecmo Koei,Omega Force,180000,2015-03-31,2018-10-29,2015.0
Persona 5,Atlus,Atlus,140000,2017-04-04,2018-01-02,2017.0
.hack//G.U. Last Recode,Namco Bandai Games,CyberConnect2,80000,2017-11-03,2018-06-10,2017.0
Ride,Milestone S.r.l.,Milestone S.r.l.,30000,2015-06-23,2018-04-24,2015.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,20000,2018-05-29,2018-11-07,2018.0
Digimon World: Next Order,Namco Bandai Games,Bandai Namco Games,20000,2017-01-31,2018-04-21,2017.0
Attack on Titan 2,Koei Tecmo,Omega Force,80000,2018-03-20,2018-03-30,2018.0
RIGS: Mechanized Combat League,Sony Interactive Entertainment,Guerrilla Cambridge,20000,2016-10-13,2018-11-27,2016.0
Corpse Party: Blood Drive,Xseed Games,Team GrisGris,60000,2015-10-13,2018-10-29,2015.0
Metal Gear Survive,Konami Digital Entertainment,Konami Digital Entertainment,50000,2018-02-20,2018-02-25,2018.0
Hatsune Miku: Project Mirai 2,Sega,Sega,230000,2015-05-26,2018-10-29,2015.0
Code Name: S.T.E.A.M.,Nintendo,Intelligent Systems,20000,2015-03-13,2019-01-04,2015.0
Dead by Daylight,505 Games,Behaviour Interactive Inc.,20000,2017-06-20,2019-02-13,2017.0
Attack on Titan 2,Koei Tecmo,Omega Force,60000,2018-03-20,2018-03-30,2018.0
Life Is Strange: Before the Storm,Square Enix,Deck Nine,20000,2018-03-06,2018-07-09,2018.0
The Legend of Heroes: Trails of Cold Steel II,Xseed Games,Nihon Falcom Corporation,110000,2016-09-06,2018-10-29,2016.0
Sumikko Gurashi: Mura o Tsukurundesu,Nippon Columbia,Nippon Columbia,220000,2016-07-21,2018-04-21,2016.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,70000,2018-02-09,2018-02-04,2018.0
Bladestorm: NightmareRead the review,Tecmo Koei,Omega Force,30000,2015-03-03,2018-05-30,2015.0
Return to PopoloCrois: A Story of Seasons Fairytale,Xseed Games,Marvelous Entertainment,110000,2016-03-01,2018-05-30,2016.0
Danganronpa Another Episode: Ultra Despair Girls,NIS America,Spike Chunsoft,120000,2015-09-01,2018-01-03,2015.0
JudgmentRead the review,Sega,Sega,220000,2019-06-25,2019-04-05,2019.0
Warriors  Orochi 4,Koei Tecmo,Omega Force,160000,2018-10-16,2018-11-11,2018.0
The Legend of Heroes: Trails of Cold Steel,Xseed Games,Nihon Falcom Corporation,120000,2015-12-22,2018-10-31,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Falcom,80000,2017-09-12,2018-01-10,2017.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,40000,2017-07-25,2018-01-02,2017.0
Radiant Historia: Perfect Chronology,Atlus,Atlus,60000,2018-02-13,2018-03-01,2018.0
Conan Exiles,Maximum Games,Funcom Oslo A/S,90000,2018-05-08,2018-09-26,2018.0
Devil May Cry HD Collection,Capcom,Capcom,20000,2018-03-13,2018-01-29,2018.0
Dragon's Dogma: Dark Arisen,Capcom,Capcom,30000,2017-10-03,2019-03-22,2017.0
Kan Colle Kai,Kadokawa Games,Kadokawa Games,210000,2016-02-18,2018-05-31,2016.0
LBX: Little Battlers eXperience,Nintendo,Level 5,210000,2015-08-21,2018-08-31,2015.0
Disney Art Academy,Nintendo,Headstrong Games,100000,2016-05-13,2019-01-04,2016.0
Godzilla (2015),Namco Bandai Games,Natsume,30000,2015-07-14,2018-04-20,2015.0
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,Banpresto,200000,2015-04-02,2018-04-21,2015.0
God Eater Resurrection,Namco Bandai Games,Namco Bandai Games,200000,2016-10-01,2018-06-10,2016.0
Shin Megami Tensei: Strange Journey ReduxRead the review,Atlus,Atlus,100000,2018-05-15,2018-06-22,2018.0
Valkyria Chronicles 4,Sega,Sega,20000,2018-09-25,2018-09-11,2018.0
The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,Capcom,Capcom,190000,2015-07-09,2018-08-03,2015.0
Project X Zone 2,Namco Bandai Games,Monolith Soft,90000,2016-02-16,2018-06-14,2016.0
Captain Toad: Treasure Tracker,Nintendo,Nintendo EPD,80000,2018-07-13,2018-11-18,2018.0
Toukiden KiwamiRead the review,Tecmo Koei,Koei Tecmo Games,30000,2015-04-28,2018-07-31,2015.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,10000,2018-05-29,2018-11-07,2018.0
God Eater 3,Bandai Namco Entertainment,Bandai Namco Studios,190000,2019-02-08,2018-12-19,2019.0
Tokyo Xanadu,Aksys Games,Nihon Falcom Corporation,160000,2017-06-30,2018-06-25,2017.0
The Surge,Focus Home Interactive,DECK13 Interactive,10000,2017-05-16,2018-01-06,2017.0
Senran Kagura: Estival Versus,Xseed Games,Marvelous Entertainment,100000,2016-03-15,2018-06-29,2016.0
MotoGP 15,Milestone S.r.l.,Milestone S.r.l.,40000,2015-06-24,2018-04-24,2015.0
Digimon Story: Cyber Sleuth,Namco Bandai Games,Media.Vision,180000,2016-02-02,2018-01-22,2016.0
Resident Evil: Revelations,Capcom,Capcom,40000,2017-08-29,2018-03-16,2017.0
Senran Kagura 2: Deep Crimson,Marvelous Entertainment,Tamsoft,80000,2015-09-15,2018-10-14,2015.0
Mobile Suit Gundam: Extreme VS Force,Namco Bandai Games,Namco Bandai Games,180000,2017-01-01,2018-06-30,2017.0
Hatsune Miku: Project Diva X,Sega,Sega,120000,2016-08-30,2018-06-30,2016.0
One Piece: Pirate Warriors 3,Tecmo Koei,Omega Force,140000,2015-08-25,2018-01-12,2015.0
Senran Kagura: Estival Versus,Xseed Games,Marvelous Entertainment,90000,2016-03-15,2018-06-29,2016.0
Danganronpa V3: Killing Harmony,NIS America,Spike Chunsoft,130000,2017-09-26,2018-01-03,2017.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,20000,2016-06-28,2018-03-31,2016.0
Katamari Damacy Reroll,Bandai Namco Entertainment,Bandai Namco Games,20000,2018-12-07,2018-09-13,2018.0
Mega Man 11,Capcom,Capcom,30000,2018-10-02,2018-06-04,2018.0
Resident Evil 6,Capcom,Capcom,50000,2016-03-29,2018-03-30,2016.0
Final Fantasy XIV: Heavensward,Square Enix,Square Enix,60000,2015-06-23,2018-04-22,2015.0
Final Fantasy XIV: Stormblood,Square Enix,Square Enix,40000,2017-06-20,2018-06-30,2017.0
BlazBlue: Central Fiction,Aksys Games,Arc System Works,50000,2016-11-01,2019-01-25,2016.0
Valkyrie Drive: Bhikkhuni,PQube,Marvelous Entertainment,110000,2016-10-11,2018-06-30,2016.0
Sumikko Gurashi: Omise Hajimerundesu,Nippon Columbia,Nippon Columbia,170000,2015-11-19,2018-04-21,2015.0
Ride 2,Milestone S.r.l,Milestone S.r.l.,10000,2017-02-14,2018-06-25,2017.0
Theatrhythm Dragon Quest,Square Enix,Square Enix,160000,2015-03-26,2018-06-30,2015.0
Digimon Story: Cyber Sleuth - Hacker's Memory,Namco Bandai Games,Media.Vision,40000,2018-01-19,2018-01-07,2018.0
Berserk and the Band of the Hawk,Tecmo Koei,Omega Force,50000,2017-02-21,2018-04-21,2017.0
BlazBlue: Chrono Phantasma Extend,Aksys Games,Arc System Works,20000,2015-06-30,2018-07-09,2015.0
Pro Baseball Spirits 2015,Konami Digital Entertainment,"Konami Digital Entertainment, Inc.",160000,2015-03-26,2018-05-01,2015.0
Pro Yakyuu Famista Returns,Namco Bandai Games,Bandai Namco Games,160000,2015-10-08,2018-06-30,2015.0
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,Banpresto,160000,2015-04-02,2018-04-21,2015.0
Valkyria Revolution,Sega,Media.Vision,70000,2017-06-27,2018-01-21,2017.0
Xenoblade Chronicles 2: Torna ~ The Golden Country,Nintendo,Monolith Soft,20000,2018-09-21,2018-09-26,2018.0
Gravity Rush Remastered,Sony Computer Entertainment,Bluepoint Games,50000,2016-02-02,2018-09-23,2016.0
Assassin's Creed Rogue Remastered,Ubisoft,Ubisoft,10000,2018-03-20,2018-01-29,2018.0
Oreshika: Tainted BloodlinesRead the review,Sony Computer Entertainment,Alfa System,150000,2015-03-03,2018-09-16,2015.0
Fire Emblem Warriors,Nintendo,Omega Force,40000,2017-10-20,2020-08-03,2017.0
Steins;Gate 0,PQube,5pb. Inc.,70000,2016-11-29,2018-06-10,2016.0
Toukiden 2,Tecmo Koei,Omega Force,130000,2017-03-21,2018-06-03,2017.0
Atelier Sophie: The Alchemist of the Mysterious Book,Tecmo Koei,Gust,70000,2016-06-07,2018-01-01,2016.0
Monster Hunter Diary: Poka Poka Airou Village DX,Capcom,From Software,150000,2015-09-10,2018-06-30,2015.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,100000,2017-01-17,2018-01-13,2017.0
Attack on Titan,Tecmo Koei,Omega Force,150000,2017-01-01,2018-09-11,2017.0
Dragon Quest Builders 2,Square Enix,Square Enix,150000,2019-07-12,2019-04-06,2019.0
Gear.Club Unlimited,Microids,Eden Games,10000,2017-11-21,2018-01-07,2017.0
Toukiden 2,Tecmo Koei,Omega Force,100000,2017-03-21,2018-06-03,2017.0
Metroid Prime: Federation Force,Nintendo,Next Level Games,30000,2016-08-19,2018-07-02,2016.0
Super Robot Wars V,Namco Bandai Games,B.B. Studio,150000,2017-02-23,2018-06-30,2017.0
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,Tecmo Koei,Gust,60000,2017-09-26,2018-07-02,2017.0
Cyberdimension Neptunia: 4 Goddesses Online,Idea Factory International,Compile Heart,70000,2017-10-10,2018-07-04,2017.0
Grand Kingdom,NIS America,Monochrome Corporation,40000,2016-06-28,2018-07-03,2016.0
Arslan: The Warriors of Legend,Tecmo Koei,Koei Tecmo Games,60000,2016-02-09,2018-07-31,2016.0
Pro Baseball Spirits 2015,Konami Digital Entertainment,"Konami Digital Entertainment, Inc.",140000,2015-03-26,2018-05-01,2015.0
Dragon Quest Builders 2,Square Enix,Square Enix,140000,2019-07-12,2019-04-06,2019.0
Run for Money CHO Tousouchuu,Namco Bandai Games,Bandai Namco Games,140000,2015-07-09,2018-07-02,2015.0
Under Night In-Birth,Aksys Games,Ecole Software,50000,2015-02-24,2018-11-09,2015.0
Taiko no Tatsujin: Don Don! Mystery Adventure,Namco Bandai Games,Namco Bandai Games,140000,2016-06-16,2018-07-02,2016.0
Guilty Gear Xrd -Revelator-,Aksys Games,Arc System Works,70000,2016-06-07,2018-04-25,2016.0
Assassination Classroom: Grand Siege on Korosensei,Namco Bandai Games,Bandai Namco Games,140000,2015-03-12,2018-07-03,2015.0
Mega Man X Legacy Collection 1+2,Capcom Entertainment,Digital Eclipse Software,50000,2018-07-24,2018-08-18,2018.0
Gundam Breaker 3,Namco Bandai Games,Namco Bandai Games,140000,2016-03-03,2018-07-03,2016.0
Rodea the Sky Soldier,NIS America,Kadokawa Games,10000,2015-11-10,2018-04-06,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Falcom,110000,2017-09-12,2018-01-10,2017.0
Fairy Fencer F: Advent Dark Force,Idea Factory International,Compile Heart,60000,2016-07-26,2018-07-03,2016.0
Jikkyou Powerful Pro Baseball Heroes,Konami Digital Entertainment,Konami,140000,2016-12-15,2018-07-03,2016.0
Resident Evil: Revelations 2,Sony Computer Entertainment,Capcom,80000,2015-08-15,2018-04-15,2015.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,130000,2016-01-28,2018-01-11,2016.0
Samurai Warriors 4-II,Tecmo Koei,Omega Force,70000,2015-09-29,2018-05-02,2015.0
Hatsune Miku: Project Diva X,Sega,Sega,40000,2016-08-30,2018-06-30,2016.0
New Gundam Breaker,Namco Bandai Games,Bandai Namco Games,100000,2018-06-22,2018-04-21,2018.0
Yakuza Kiwami,Sega,Sega,130000,2016-01-21,2018-01-02,2016.0
Pro Baseball Famista Climax,Namco Bandai Games,Namco Bandai Games,130000,2017-04-20,2018-07-03,2017.0
Super Robot Wars BX,Namco Bandai Games,Bandai Namco Games,130000,2015-08-20,2018-07-03,2015.0
Trillion: God of Destruction,Idea Factory,Compile Heart,70000,2016-03-29,2018-11-12,2016.0
Super Robot Wars X,Bandai Namco Games,Bandai Namco,130000,2018-03-29,2018-04-07,2018.0
Hyperdimension Neptunia U: Action Unleashed,Idea Factory International,Compile Heart,60000,2015-05-19,2018-07-03,2015.0
MegaTagmension Blanc + Neptune VS Zombies,Idea Factory International,Compile Heart,60000,2016-05-10,2018-07-03,2016.0
The Legend of Heroes: Trails of Cold Steel IVRead the review,NIS America,Falcom,130000,2020-10-27,2018-08-18,2020.0
Persona Dancing: Endless Night Collection,Atlus,Atlus,40000,2018-12-04,2018-08-12,2018.0
Utawarerumono: Mask of Truth,Atlus,Aqua Plus,70000,2017-09-05,2018-06-03,2017.0
Shin Megami Tensei: Devil Survivor 2 Record BreakerRead the review,Atlus,Atlus,100000,2015-05-05,2018-01-31,2015.0
The Legend of Heroes: Trails of Cold Steel IIIRead the review,NIS America,Nihon Falcom Corporation,130000,2019-09-24,2018-07-03,2019.0
Little Dragons Café,Aksys Games,Aksys Games,20000,2018-08-24,2018-09-26,2018.0
Utawarerumono: Mask of Deception,Atlus,Aqua Plus,70000,2017-05-23,2019-03-23,2017.0
PriPara Mezase! Idol Grand Prix No.1!,Takara Tomy,Takara Tomy,130000,2015-10-22,2018-07-03,2015.0
Zero Escape: Zero Time Dilemma,Aksys Games,Chime,30000,2016-06-28,2018-07-03,2016.0
Assassin's Creed Chronicles,Ubisoft,Climax Studios,20000,2016-04-05,2018-07-03,2016.0
Samurai Warriors 4-II,Tecmo Koei,Omega Force,120000,2015-09-29,2018-05-02,2015.0
Terraria,505 Games,Re-Logic,60000,2015-12-10,2018-03-19,2015.0
Shantae: Half-Genie HeroRead the review,Xseed Games,WayForward Technologies,10000,2018-05-08,2018-12-30,2018.0
Super Robot Wars V,Namco Bandai Games,B.B. Studio,120000,2017-02-23,2018-06-30,2017.0
Portal Knights,505 Games,Keen Games,30000,2017-05-23,2018-07-03,2017.0
Saru! Get You! Million Monkeys,Sony Computer Entertainment,SCEI,120000,2016-12-30,2018-09-18,2016.0
Fire Pro Wrestling World,Spike Chunsoft,Spike Chunsoft,30000,2018-08-28,2018-09-12,2018.0
Fate/Extella Link,Xseed Games,Marvelous,120000,2019-02-19,2018-12-30,2019.0
"Snipperclips Plus: Cut It Out, Together!",Nintendo,SFB Games,100000,2017-03-03,2018-03-31,2017.0
Tokyo New World Record: Operation Abyss,NIS America,Experience Inc.,60000,2015-06-09,2018-11-15,2015.0
"Sumikko Gurashi: Koko, Dokonan Desu?",Nippon Columbia,Nippon Columbia,120000,2017-07-20,2018-07-03,2017.0
SD Gundam G Generation Genesis,Namco Bandai Games,Bandai Namco,120000,2016-11-22,2018-01-16,2016.0
Pro Yakyuu Famista Evolution,Bandai Namco Games,Bandai Namco Games,120000,2018-08-02,2018-08-26,2018.0
Picross 3D Round 2,Nintendo,HAL Laboratory,120000,2016-09-01,2018-04-23,2016.0
The Great Ace Attorney 2 - The Resolve of Ryuunosuke NaruhodouRead the review,Capcom,Capcom,120000,2017-08-03,2018-08-03,2017.0
Fatal Frame: Maiden of Black Water,Nintendo,Koei Tecmo Games,90000,2015-10-22,2018-01-01,2015.0
Jikkyou Powerful Pro Baseball 2018,Konami,Konami,120000,2018-04-26,2018-05-20,2018.0
The Snack World: Trejarers Gold,Level 5,Level 5,120000,2020-02-14,2019-12-09,2020.0
Danganronpa 1-2 Reload,NIS America,Spike Chunsoft,20000,2017-03-14,2018-01-10,2017.0
Code: Realize - Guardian of Rebirth,Aksys Games,Idea Factory,30000,2015-10-20,2018-01-15,2015.0
God Eater 2: Rage Burst,Namco Bandai Games,Namco Bandai Games,110000,2015-02-26,2018-07-04,2015.0
BlazBlue: Central Fiction,Aksys Games,Arc System Works,30000,2016-11-01,2019-01-25,2016.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,90000,2016-05-31,2018-05-23,2016.0
The Alliance AliveRead the review,Atlus,Cattle Call,60000,2018-03-27,2019-03-16,2018.0
SaGa: Scarlet Grace,Square Enix,Square Enix,110000,2016-12-15,2018-08-26,2016.0
Minecraft: Story Mode - Season Two,Telltale Games,Telltale Games,0,2017-09-19,2018-08-07,2017.0
Utawarerumono: Mask of Deception,Atlus,Aqua Plus,80000,2017-05-23,2019-03-23,2017.0
Zero Escape: Zero Time Dilemma,Aksys Games,Chime,40000,2016-06-28,2018-07-03,2016.0
The Idolmaster: Platinum Stars,Namco Bandai Games,Namco Bandai Games,110000,2016-07-28,2018-07-04,2016.0
The Witch and the Hundred KnightRead the review,NIS America,Nippon Ichi Software,60000,2016-03-01,2018-07-04,2016.0
SD Gundam G Generation Genesis,Namco Bandai Games,Bandai Namco,110000,2016-11-22,2018-01-16,2016.0
Digimon World: Next Order,Namco Bandai Games,Bandai Namco Games,110000,2016-03-17,2018-04-21,2016.0
Taiko no Tatsujin: V Version,Namco Bandai Games,Bandai Namco Games,110000,2015-07-09,2018-07-04,2015.0
Gundam Breaker 3,Namco Bandai Games,Namco Bandai Games,110000,2016-03-03,2018-07-03,2016.0
Earth Defense Force 4.1: The Shadow of New Despair,Xseed Games,Sandlot,110000,2015-12-08,2018-04-26,2015.0
Pokémon Rumble World,Nintendo,Ambrella,90000,2015-04-08,2018-08-03,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Nihon Falcom Corporation,30000,2018-06-26,2018-01-11,2018.0
Guilty Gear Xrd -Revelator-,Aksys Games,Arc System Works,40000,2016-06-07,2018-07-09,2016.0
Assassin's Creed Chronicles,Ubisoft,Climax Studios,20000,2016-02-09,2018-07-03,2016.0
Etrian Odyssey Nexus,Atlus,Atlus,110000,2019-02-05,2019-01-25,2019.0
The Seven Deadly Sins: Knights of Britannia,Bandai Namco Entertainment,Natsume Atari,20000,2018-02-09,2018-01-11,2018.0
UEFA Euro 2016,Konami Digital Entertainment,Konami Digital Entertainment,50000,2016-04-21,2018-05-03,2016.0
Romance of the Three Kingdoms XIII,Tecmo Koei,Koei Tecmo Games,60000,2016-07-05,2018-07-30,2016.0
Warriors All-Stars,Tecmo Koei,Omega Force,60000,2017-08-29,2018-09-22,2017.0
Mega Man Legacy Collection 2,Capcom,Capcom,20000,2017-08-08,2018-08-20,2017.0
Zone of the Enders: The 2nd Runner MARS,Konami,Cygames,30000,2018-09-04,2018-09-26,2018.0
Final Fantasy XIV Online Complete Edition,Square Enix,Square Enix,20000,2017-06-20,2018-07-10,2017.0
Devil May Cry 4 Special Edition,Capcom,Capcom,90000,2015-06-23,2018-09-11,2015.0
Sudden Strike 4,Kalypso Media,Kite Games,10000,2017-08-15,2018-03-24,2017.0
Accel World vs. Sword Art Online: Millennium Twilight,Namco Bandai Games,Namco Bandai Games,60000,2017-07-07,2018-07-04,2017.0
Guilty Gear Xrd REV 2,Aksys Games,Arc System Works,30000,2017-05-26,2018-08-04,2017.0
Sumikko Gurashi: Sumikko Park e Youkoso,Nippon Columbia,Nippon Columbia,100000,2017-12-07,2018-01-07,2017.0
Resident Evil 4,Capcom,Capcom,10000,2016-08-30,2018-09-04,2016.0
Dead or Alive 5 Last Round,Tecmo Koei,Team Ninja,10000,2015-02-17,2018-11-20,2015.0
Utawarerumono: Mask of Truth,Atlus,Aqua Plus,80000,2017-09-05,2018-06-03,2017.0
Kuroko's Basketball: Ties to Future,Namco Bandai Games,Bandai Namco Games,100000,2015-03-26,2018-07-04,2015.0
Persona Q2: New Cinema Labyrinth,Atlus,Atlus,100000,2019-06-04,2019-02-07,2019.0
Shantae and the Pirate's Curse,WayForward Technologies,WayForward Technologies,40000,2016-10-18,2018-01-31,2016.0
Déraciné,Sony Interactive Entertainment,From Software,10000,2018-11-06,2018-09-11,2018.0
Lost Dimension,Atlus,Lancarse,20000,2015-07-28,2018-11-24,2015.0
Nights of Azure 2,Tecmo Koei,Gust,40000,2017-10-24,2018-09-06,2017.0
Summon Night 6: Lost Borders,Gaijinworks,Media.Vision,70000,2017-10-31,2018-04-26,2017.0
Taiko no Tatsujin: Drum Session!,Namco Bandai Games,Namco Bandai Games,90000,2017-10-26,2018-09-13,2017.0
Nobunaga's Ambition: Sphere of Influence - Ascension,Tecmo Koei,Koei Tecmo Games,60000,2016-10-25,2018-09-11,2016.0
Grand Ages: Medieval,Kalypso Media,Gaming Minds Studios,30000,2015-09-29,2018-09-22,2015.0
Earth Defense Force 2: Invaders from Planet Space,Xseed Games,Sandlot,40000,2015-12-08,2018-09-13,2015.0
God Eater Resurrection,Namco Bandai Games,Namco Bandai Games,90000,2016-10-01,2018-06-10,2016.0
Dark Souls Trilogy,Bandai Namco Entertainment,From Software,10000,2018-10-19,2018-08-24,2018.0
The Seven Deadly Sins: Unjust Sin,Namco Bandai Games,Namco Bandai Games,90000,2015-02-11,2018-07-26,2015.0
