Title,Publisher,Developer,Japan Sales,Release Date,Last Update,Year
Disney Infinity 3.0,Disney Interactive Studios,Avalanche Software,250000,2015-08-30,2018-03-20,2015.0
Xenoblade Chronicles,Nintendo,Monolith Soft,150000,2015-04-10,2018-01-15,2015.0
Metroid: Samus Returns,Nintendo,Mercury Steam,150000,2017-09-15,2018-09-21,2017.0
WWE 2K16,Take-Two Interactive,Yuke's,230000,2015-10-27,2018-04-11,2015.0
DOOM VFR,Bethesda Softworks,id Software,250000,2017-12-01,2018-01-01,2017.0
Just Cause 4,Square Enix,Avalanche Studios,260000,2018-12-04,2018-12-19,2018.0
Sonic Forces,Sega,Sonic Team,310000,2017-11-07,2018-02-11,2017.0
Kingdom Come: Deliverance,Deep Silver,Warhorse Studios,280000,2018-02-13,2018-01-10,2018.0
Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,Level 5,Level 5,250000,2017-10-06,2018-01-23,2017.0
Poochy & Yoshi's Woolly World,Nintendo,Good-Feel,160000,2017-02-03,2018-01-07,2017.0
Sniper Elite 4,Rebellion Developments,Rebellion Developments,250000,2017-02-14,2018-05-29,2017.0
