Title,Publisher,Developer,Japan Sales,Release Date,Last Update,Year
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,70000,2018-02-09,2018-02-04,2018.0
Deadpool,Activision,High Moon Studios,30000,2015-11-18,2018-01-22,2015.0
Kingdom Come: Deliverance,Deep Silver,Warhorse Studios,60000,2018-02-13,2018-01-10,2018.0
Bladestorm: NightmareRead the review,Tecmo Koei,Omega Force,40000,2015-03-03,2018-05-30,2015.0
LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment,Traveller's Tales,60000,2018-10-30,2018-10-27,2018.0
Zombie Army Trilogy,Rebellion Developments,Rebellion Developments,130000,2015-03-06,2018-05-30,2015.0
Hitman 2,Warner Bros. Interactive Entertainment,IO Interactive,60000,2018-11-13,2018-11-22,2018.0
Danganronpa Another Episode: Ultra Despair Girls,NIS America,Spike Chunsoft,10000,2015-09-01,2018-01-03,2015.0
Super Lucky's TaleRead the review,Microsoft Studios,Playful Corp.,70000,2017-11-07,2018-01-18,2017.0
EVE: Valkyrie,Sony Interactive Entertainment,CCP,60000,2016-10-13,2018-06-15,2016.0
The Legend of Heroes: Trails of Cold Steel,Xseed Games,Nihon Falcom Corporation,20000,2015-12-22,2018-10-31,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Falcom,40000,2017-09-12,2018-01-10,2017.0
Just Dance 2018,Ubisoft,Ubisoft Paris,40000,2017-10-24,2018-04-06,2017.0
Homefront: The Revolution,Deep Silver,Dambuster Studios,90000,2016-05-17,2018-05-24,2016.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,60000,2017-07-25,2018-01-02,2017.0
Radiant Historia: Perfect Chronology,Atlus,Atlus,30000,2018-02-13,2018-03-01,2018.0
FIFA 16,EA Sports,EA Canada,130000,2015-09-22,2018-04-01,2015.0
The Sims 4: Cats & Dogs,Electronic Arts,Maxis,200000,2017-11-10,2018-06-30,2017.0
Fallout 76,Bethesda Softworks,Bethesda Game Studios,70000,2018-11-14,2018-12-02,2018.0
NBA Live 16,EA Sports,EA Tiburon,50000,2015-09-29,2018-05-30,2015.0
Conan Exiles,Maximum Games,Funcom Oslo A/S,50000,2018-05-08,2018-09-26,2018.0
State of Decay: Year One Survival Edition,Microsoft Studios,Undead Labs,50000,2015-04-28,2018-09-25,2015.0
Devil May Cry HD Collection,Capcom,Capcom,60000,2018-03-13,2018-01-29,2018.0
7 Days to Die,Telltale Games,The Fun Pimps,80000,2016-06-28,2018-05-31,2016.0
Dragon's Dogma: Dark Arisen,Capcom,Capcom,70000,2017-10-03,2019-03-22,2017.0
Disney Art Academy,Nintendo,Headstrong Games,60000,2016-05-13,2019-01-04,2016.0
Godzilla (2015),Namco Bandai Games,Natsume,30000,2015-07-14,2018-04-20,2015.0
Eagle Flight,Ubisoft,Ubisoft,80000,2016-11-08,2018-06-29,2016.0
Titanfall 2Read the review,Electronic Arts,Respawn Entertainment,120000,2016-10-28,2018-06-29,2016.0
Skylanders: SuperChargers Racing,Activision,Beenox,70000,2015-09-20,2018-04-06,2015.0
Agents of Mayhem,Deep Silver,Volition Inc.,80000,2017-08-15,2018-06-24,2017.0
Shin Megami Tensei: Strange Journey ReduxRead the review,Atlus,Atlus,10000,2018-05-15,2018-06-22,2018.0
Batman: Return to Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,60000,2016-10-18,2018-06-10,2016.0
Valkyria Chronicles 4,Sega,Sega,40000,2018-09-25,2018-09-11,2018.0
Dishonored: Definitive Edition,Bethesda Softworks,Arkane Studios,50000,2015-08-25,2018-04-04,2015.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,70000,2016-05-31,2018-05-23,2016.0
FIFA 17,Electronic Arts,EA Canada,180000,2016-09-27,2018-03-28,2016.0
Call of Duty: WWII,Activision,Sledgehammer Games,110000,2017-11-03,2017-12-30,2017.0
Elite: Dangerous,Frontier Developments,Frontier Developments,100000,2017-06-27,2018-06-15,2017.0
Project X Zone 2,Namco Bandai Games,Monolith Soft,40000,2016-02-16,2018-06-14,2016.0
Captain Toad: Treasure Tracker,Nintendo,Nintendo EPD,40000,2018-07-13,2018-11-18,2018.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,TT Fusion,120000,2016-01-26,2018-04-06,2016.0
Toukiden KiwamiRead the review,Tecmo Koei,Koei Tecmo Games,70000,2015-04-28,2018-07-31,2015.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,40000,2018-05-29,2018-11-07,2018.0
Batman: A Telltale Game Series,Telltale Games,Telltale Games,70000,2016-09-13,2018-04-16,2016.0
Mirror's Edge Catalyst,Electronic Arts,EA DICE,60000,2016-06-07,2018-09-04,2016.0
The Surge,Focus Home Interactive,DECK13 Interactive,80000,2017-05-16,2018-01-06,2017.0
XCOM 2,2K Games,Firaxis Games,20000,2016-09-27,2018-05-29,2016.0
F1 2017,Deep Silver,Codemasters,130000,2017-08-25,2018-05-23,2017.0
Senran Kagura: Estival Versus,Xseed Games,Marvelous Entertainment,30000,2016-03-15,2018-06-29,2016.0
MotoGP 15,Milestone S.r.l.,Milestone S.r.l.,130000,2015-06-24,2018-04-24,2015.0
Resident Evil: Revelations,Capcom,Capcom,60000,2017-08-29,2018-03-16,2017.0
Senran Kagura 2: Deep Crimson,Marvelous Entertainment,Tamsoft,20000,2015-09-15,2018-10-14,2015.0
Call of Duty: Modern Warfare Trilogy,Activision,Infinity Ward,40000,2016-05-17,2018-01-14,2016.0
One Piece: Pirate Warriors 3,Tecmo Koei,Omega Force,30000,2015-08-25,2018-01-12,2015.0
Back to the Future: The Game,Telltale Games,Telltale Games,50000,2015-10-13,2018-04-23,2015.0
Danganronpa V3: Killing Harmony,NIS America,Spike Chunsoft,10000,2017-09-26,2018-01-03,2017.0
Sega Genesis Classics,Sega,Sega,60000,2018-12-07,2018-09-22,2018.0
Cities: Skylines,Koch Media,Colossal Order,30000,2017-04-21,2018-01-14,2017.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,100000,2016-06-28,2018-03-31,2016.0
Sniper: Ghost Warrior 3,City Interactive,City Interactive,50000,2017-04-25,2018-05-29,2017.0
Mega Man 11,Capcom,Capcom,30000,2018-10-02,2018-06-04,2018.0
Final Fantasy XIV: Heavensward,Square Enix,Square Enix,90000,2015-06-23,2018-04-22,2015.0
Final Fantasy XIV: Stormblood,Square Enix,Square Enix,60000,2017-06-20,2018-06-30,2017.0
Just Dance 2019,Ubisoft,Ubisoft Paris,30000,2018-10-23,2018-09-28,2018.0
Just Dance 2018,Ubisoft,Ubisoft Paris,90000,2017-10-24,2018-04-06,2017.0
MXGP 3: The Official Motocross Videogame,Milestone,Milestone,80000,2017-06-20,2018-06-25,2017.0
Valkyrie Drive: Bhikkhuni,PQube,Marvelous Entertainment,50000,2016-10-11,2018-06-30,2016.0
TT Isle of Man: Ride on the Edge,Big Ben Interactive,Kylotonn,90000,2018-03-06,2018-03-07,2018.0
Axiom Verge,Thomas Happ Games,Thomas Happ Games,30000,2017-11-21,2018-01-12,2017.0
F1 2018,Codemasters,Codemasters Birmingham,100000,2018-08-24,2018-09-26,2018.0
Sports Party,Ubisoft,Magic Pockets,100000,2018-10-30,2018-11-02,2018.0
Harvest Moon: Light of Hope,Natsume,Natsume,30000,2018-05-29,2018-06-14,2018.0
Ride 2,Milestone S.r.l,Milestone S.r.l.,60000,2017-02-14,2018-06-25,2017.0
Dead Rising 4: Frank's Big Package,Capcom,Capcom,50000,2017-12-05,2018-09-25,2017.0
Digimon Story: Cyber Sleuth - Hacker's Memory,Namco Bandai Games,Media.Vision,50000,2018-01-19,2018-01-07,2018.0
Battlezone,Sony Interactive Entertainment,Rebellion Developments,40000,2016-10-13,2018-06-30,2016.0
Little Nightmares,Namco Bandai Games,Tarsier Studios,30000,2017-04-28,2019-02-20,2017.0
Berserk and the Band of the Hawk,Tecmo Koei,Omega Force,20000,2017-02-21,2018-04-21,2017.0
Just Cause 3,Square Enix,Avalanche Studios,120000,2015-12-01,2018-04-04,2015.0
BlazBlue: Chrono Phantasma Extend,Aksys Games,Arc System Works,40000,2015-06-30,2018-07-09,2015.0
Pillars of Eternity,Paradox Interactive,Obsidian Entertainment,20000,2017-08-29,2018-04-15,2017.0
Valkyria Revolution,Sega,Media.Vision,30000,2017-06-27,2018-01-21,2017.0
Overcooked! 2,Sold Out,Ghost Town Games,60000,2018-08-07,2018-06-14,2018.0
Xenoblade Chronicles 2: Torna ~ The Golden Country,Nintendo,Monolith Soft,50000,2018-09-21,2018-09-26,2018.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,50000,2015-09-01,2018-09-12,2015.0
Gravity Rush Remastered,Sony Computer Entertainment,Bluepoint Games,60000,2016-02-02,2018-09-23,2016.0
Destiny 2,Activision,Bungie,50000,2017-10-23,2018-04-20,2017.0
Assassin's Creed Rogue Remastered,Ubisoft,Ubisoft,130000,2018-03-20,2018-01-29,2018.0
Wolfenstein: The Old Blood,Bethesda Softworks,MachineGames,70000,2015-05-05,2018-04-21,2015.0
Just Dance 2019,Ubisoft,Ubisoft Paris,10000,2018-10-23,2018-09-28,2018.0
Fire Emblem Warriors,Nintendo,Omega Force,30000,2017-10-20,2020-08-03,2017.0
Psycho-Pass: Mandatory Happiness,NIS America,5pb. Inc.,20000,2016-09-13,2018-07-03,2016.0
Brothers: A Tale of Two Sons,505 Games,Starbreeze Studios,90000,2015-08-12,2018-06-27,2015.0
Steins;Gate 0,PQube,5pb. Inc.,70000,2016-11-29,2018-06-10,2016.0
Toukiden 2,Tecmo Koei,Omega Force,0,2017-03-21,2018-06-03,2017.0
Atelier Sophie: The Alchemist of the Mysterious Book,Tecmo Koei,Gust,30000,2016-06-07,2018-01-01,2016.0
RiME,Grey Box,Tequila Works,30000,2017-11-21,2018-08-11,2017.0
The Escapists 2,Sold Out,Team17 Software,80000,2017-08-22,2019-02-22,2017.0
Transformers: Devastation,Activision,PlatinumGames,40000,2015-10-06,2018-04-14,2015.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,0,2017-01-17,2018-01-13,2017.0
Spintires: MudRunner,Focus Home Interactive,Saber Interactive,20000,2017-10-31,2018-05-30,2017.0
Gear.Club Unlimited,Microids,Eden Games,30000,2017-11-21,2018-01-07,2017.0
DmC Devil May Cry: Definitive Edition,Capcom,QLOC,40000,2015-03-10,2018-05-01,2015.0
Attack on TitanRead the review,Tecmo Koei,Omega Force,70000,2016-08-30,2018-09-11,2016.0
Metroid Prime: Federation Force,Nintendo,Next Level Games,20000,2016-08-19,2018-07-02,2016.0
Tony Hawk's Pro Skater 5,Activision,Robomodo,20000,2015-09-29,2018-04-15,2015.0
Arslan: The Warriors of Legend,Tecmo Koei,Koei Tecmo Games,40000,2016-02-09,2018-07-31,2016.0
Etrian Odyssey 2 Untold: Knight of Fafnir,Atlus,Atlus,20000,2015-08-04,2018-01-30,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,130000,2015-03-17,2018-04-11,2015.0
Under Night In-Birth,Aksys Games,Ecole Software,10000,2015-02-24,2018-11-09,2015.0
South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,50000,2018-04-24,2018-04-06,2018.0
Adventure Time: Finn & Jake Investigations,Little Orbit,Vicious Cycle,50000,2015-10-20,2018-03-17,2015.0
We Happy Few,Gearbox Software,Compulsion Games,40000,2018-08-10,2018-09-17,2018.0
Resident Evil: Revelations 2,Capcom,Capcom,20000,2015-03-20,2018-04-15,2015.0
Dishonored: Death of the Outsider,Bethesda Softworks,Arkane Studios,60000,2017-09-15,2018-03-03,2017.0
The Crew: Wild Run,Ubisoft,Ivory Tower,120000,2015-11-17,2018-01-04,2015.0
MXGP 2,Milestone S.r.l,Milestone S.r.l.,60000,2016-06-21,2018-06-19,2016.0
Rodea the Sky Soldier,NIS America,Kadokawa Games,20000,2015-11-10,2018-04-06,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Falcom,10000,2017-09-12,2018-01-10,2017.0
MotoGP 17,Koch Media,Milestone S.r.l.,70000,2017-07-11,2018-06-25,2017.0
The Elder Scrolls Online: Morrowind,Bethesda Softworks,ZeniMax Online Studios,30000,2017-06-06,2018-09-15,2017.0
Tropico 5Read the review,Kalypso Media,Haemimont Games,90000,2015-01-01,2018-08-20,2015.0
NBA 2K Playgrounds 2,2K Games,Saber Interactive,50000,2018-11-09,2018-09-11,2018.0
Resident Evil: Revelations 2,Sony Computer Entertainment,Capcom,40000,2015-08-15,2018-04-15,2015.0
Divinity: Original Sin II,Bandai Namco Entertainment,Larian Studios,80000,2018-08-31,2018-06-04,2018.0
Samurai Warriors 4-II,Tecmo Koei,Omega Force,20000,2015-09-29,2018-05-02,2015.0
The Golf Club,Maximum Games,HB Studios,20000,2015-04-28,2018-11-10,2015.0
Nickelodeon Kart Racers,GameMill Entertainment,Bamtang,40000,2018-10-23,2020-09-21,2018.0
Just Dance 2017,Ubisoft,Ubisoft Paris,60000,2016-10-25,2018-04-06,2016.0
Trillion: God of Destruction,Idea Factory,Compile Heart,10000,2016-03-29,2018-11-12,2016.0
Destiny 2: Forsaken,Activision,Bungie,40000,2018-09-04,2018-08-07,2018.0
Project CARS,Bandai Namco Games,Slightly Mad Studios,120000,2015-05-12,2018-01-05,2015.0
Hasbro Family Fun Pack,Ubisoft,Ubisoft,20000,2015-10-20,2018-06-19,2015.0
Call of Duty: Black Ops IIII,Activision,Treyarch,70000,2018-10-12,2018-11-07,2018.0
Hyperdimension Neptunia U: Action Unleashed,Idea Factory International,Compile Heart,10000,2015-05-19,2018-07-03,2015.0
Bulletstorm: Full Clip Edition,Gearbox Software,People Can Fly,60000,2017-04-07,2018-06-25,2017.0
Valentino Rossi: The Game,Namco Bandai Games,Milestone S.r.l.,50000,2016-07-26,2018-06-25,2016.0
MegaTagmension Blanc + Neptune VS Zombies,Idea Factory International,Compile Heart,10000,2016-05-10,2018-07-03,2016.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,50000,2015-09-15,2018-04-14,2015.0
Golf Club 2,Maximum Games,HB Studios,60000,2017-06-27,2018-07-03,2017.0
NBA Live 16,EA Sports,EA Tiburon,10000,2015-09-29,2018-05-30,2015.0
Goosebumps: The Game,GameMill Entertainment,WayForward,20000,2018-10-09,2018-06-14,2018.0
Rugby 15,Maximum Games,HB Studios,60000,2015-02-24,2018-09-17,2015.0
Paw Patrol on a Roll,Outright Games,Outright Games,120000,2018-10-23,2018-08-07,2018.0
Sonic Mania,Sega,PagodaWest Games,30000,2017-08-15,2018-08-15,2017.0
Mass Effect: Andromeda,Electronic Arts,BioWare Corp.,80000,2017-03-21,2018-07-03,2017.0
Shin Megami Tensei: Devil Survivor 2 Record BreakerRead the review,Atlus,Atlus,20000,2015-05-05,2018-01-31,2015.0
Adventure Time: Finn & Jake Investigations,Little Orbit,Vicious Cycle,70000,2015-10-20,2018-03-17,2015.0
Farming Simulator 17,Focus Home Interactive,Giants Software,80000,2017-11-07,2018-01-06,2017.0
The Inpatient,Sony Interactive Entertainment,Supermassive Games Ltd.,50000,2018-01-23,2018-09-24,2018.0
Sword Art Online: Hollow Fragment,Namco Bandai Games,Namco Bandai Games,110000,2015-07-28,2018-07-03,2015.0
MX vs ATV All Out,THQ Nordic,Rainbow Studios,10000,2018-03-27,2018-03-23,2018.0
Assassin's Creed Chronicles,Ubisoft,Climax Studios,70000,2016-04-05,2018-07-03,2016.0
Farming Simulator 18,Focus Home Interactive,Giants Software,60000,2017-06-06,2018-07-03,2017.0
Terraria,505 Games,Re-Logic,60000,2015-12-10,2018-03-19,2015.0
Batman: A Telltale Game Series,Telltale Games,Telltale Games,90000,2016-09-13,2018-04-16,2016.0
Rocket League,Psyonix Studios,Psyonix Studios,80000,2015-07-07,2018-04-04,2015.0
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Activision,PlatinumGames,30000,2016-05-24,2018-04-15,2016.0
Shantae: Half-Genie HeroRead the review,Xseed Games,WayForward Technologies,10000,2018-05-08,2018-12-30,2018.0
Dead by Daylight,505 Games,Behaviour Interactive Inc.,30000,2017-06-20,2019-02-13,2017.0
Portal Knights,505 Games,Keen Games,50000,2017-05-23,2018-07-03,2017.0
Fire Pro Wrestling World,Spike Chunsoft,Spike Chunsoft,20000,2018-08-28,2018-09-12,2018.0
Vampyr,Focus Home Interactive,DONTNOD Entertainment,40000,2018-06-05,2018-02-08,2018.0
Batman: A Telltale Game Series,Telltale Games,Telltale Games,20000,2017-11-14,2018-01-05,2017.0
"Snipperclips Plus: Cut It Out, Together!",Nintendo,SFB Games,20000,2017-03-03,2018-03-31,2017.0
Tokyo New World Record: Operation Abyss,NIS America,Experience Inc.,10000,2015-06-09,2018-11-15,2015.0
Life is StrangeRead the review,Square Enix,DONTNOD Entertainment,30000,2016-01-19,2018-01-07,2016.0
Picross 3D Round 2,Nintendo,HAL Laboratory,0,2016-09-01,2018-04-23,2016.0
Pokémon Crystal Version,Nintendo,Game Freak,110000,2018-01-26,2018-08-03,2018.0
NBA 2K16,2K Sports,Visual Concepts,70000,2015-09-29,2018-03-28,2015.0
Fatal Frame: Maiden of Black Water,Nintendo,Koei Tecmo Games,30000,2015-10-22,2018-01-01,2015.0
The SurgeRead the review,Focus Home Interactive,DECK13 Interactive,40000,2017-05-16,2018-01-06,2017.0
Adventure Time: Finn & Jake Investigations,Little Orbit,Vicious Cycle,60000,2015-10-20,2018-03-17,2015.0
Call of Cthulhu,Focus Home Interactive,Cyanide,30000,2018-10-30,2019-03-23,2018.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,60000,2015-09-15,2018-04-14,2015.0
Subnautica,Gearbox Software,Unknown Worlds Entertainment,30000,2018-12-04,2018-07-16,2018.0
God Eater 2: Rage Burst,Namco Bandai Games,Namco Bandai Games,10000,2015-02-26,2018-07-04,2015.0
Pro Evolution Soccer 2018,Konami Digital Entertainment,Konami Digital Entertainment,50000,2017-09-12,2018-04-24,2017.0
BlazBlue: Central Fiction,Aksys Games,Arc System Works,30000,2016-11-01,2019-01-25,2016.0
7 Days to Die,Telltale Games,The Fun Pimps,20000,2016-06-28,2018-05-31,2016.0
Payday 2,505 Games,Overkill Software,20000,2018-02-27,2018-01-08,2018.0
Marvel's Guardians of the Galaxy: The Telltale Series,Warner Bros. Interactive Entertainment,Telltale Games,40000,2017-05-02,2018-06-27,2017.0
Zombie Army Trilogy,Rebellion Developments,Rebellion Developments,50000,2015-03-06,2018-05-30,2015.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,20000,2016-05-31,2018-05-23,2016.0
Dead CellsRead the review,Merge Games,Motion Twin,20000,2018-08-15,2018-08-06,2018.0
Namco Museum Arcade Pac,Bandai Namco Entertainment,Bandai Namco,20000,2018-09-28,2019-02-11,2018.0
Darksiders: Warmastered Edition,THQ Nordic,Kaiko,20000,2016-11-22,2018-03-31,2016.0
Monster Energy Supercross - The Official Videogame,Milestone S.r.l.,Milestone S.r.l.,10000,2018-02-13,2018-02-27,2018.0
The Witch and the Hundred KnightRead the review,NIS America,Nippon Ichi Software,10000,2016-03-01,2018-07-04,2016.0
The Elder Scrolls Online: Summerset,Bethesda Softworks,ZeniMax Online Studios,10000,2018-05-21,2018-09-15,2018.0
Ride,Milestone S.r.l.,Milestone S.r.l.,50000,2015-06-23,2018-04-24,2015.0
Wolfenstein II: The New Colossus,Bethesda Softworks,MachineGames,50000,2018-06-29,2018-07-28,2018.0
RiME,Grey Box,Tequila Works,70000,2017-05-26,2018-04-08,2017.0
Agents of Mayhem,Deep Silver,Volition Inc.,30000,2017-08-15,2018-06-24,2017.0
Overcooked Special Edition,Team 17,Ghost Town Games,10000,2018-02-13,2018-01-08,2018.0
Transformers: Devastation,Activision,PlatinumGames,40000,2015-10-06,2018-04-14,2015.0
NBA 2K18,2K Sports,Visual Concepts,0,2017-09-19,2018-04-02,2017.0
Pokémon Rumble World,Nintendo,Ambrella,20000,2015-04-08,2018-08-03,2015.0
WRC 5: FIA World Rally Championship,Bigben Interactive,Kylotonn Entertainment,50000,2015-11-24,2018-04-24,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Nihon Falcom Corporation,30000,2018-06-26,2018-01-11,2018.0
Burnout Paradise Remastered,Electronic Arts,Stellar Entertainment,40000,2018-03-16,2018-02-24,2018.0
Call of Duty: Modern Warfare Trilogy,Activision,Infinity Ward,20000,2016-05-17,2018-01-14,2016.0
Football Manager 2019,Sega,Sports Interactive,100000,2018-11-02,2018-09-11,2018.0
Transformers: Devastation,Activision,PlatinumGames,10000,2015-10-06,2018-04-14,2015.0
Guilty Gear Xrd -Revelator-,Aksys Games,Arc System Works,20000,2016-06-07,2018-07-09,2016.0
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,50000,2016-09-13,2018-04-14,2016.0
Adventure Time: Finn & Jake Investigations,Little Orbit,Vicious Cycle,60000,2015-10-20,2018-03-17,2015.0
Assassin's Creed Chronicles,Ubisoft,Climax Studios,50000,2016-02-09,2018-07-03,2016.0
Dark Souls: Remastered,Bandai Namco Entertainment,From Software,30000,2018-05-25,2018-06-05,2018.0
Troll and I,Maximum Games,Spiral House,40000,2017-08-15,2018-08-20,2017.0
Stardew Valley,505 Games,ConcernedApe,40000,2017-04-11,2019-02-11,2017.0
The Seven Deadly Sins: Knights of Britannia,Bandai Namco Entertainment,Natsume Atari,20000,2018-02-09,2018-01-11,2018.0
UEFA Euro 2016,Konami Digital Entertainment,Konami Digital Entertainment,50000,2016-04-21,2018-05-03,2016.0
MXGP 2,Milestone S.r.l,Milestone S.r.l.,20000,2016-06-21,2018-06-19,2016.0
Zone of the Enders: The 2nd Runner MARS,Konami,Cygames,10000,2018-09-04,2018-09-26,2018.0
Hyperdimension Neptunia Re;Birth 3: V Generation,Idea Factory International,Compile Heart,20000,2015-06-30,2018-07-04,2015.0
Steins;Gate,5pb,5pb. Inc.,40000,2015-09-18,2018-07-04,2015.0
Assassin's Creed: Rogue,Ubisoft,Ubisoft Sofia,20000,2015-03-10,2018-07-04,2015.0
Puyo Puyo Tetris,Sega,Sonic Team,30000,2017-04-25,2018-07-04,2017.0
Just Dance 2019,Ubisoft,Ubisoft Paris,30000,2018-10-23,2018-09-28,2018.0
Rugby 15,Maximum Games,HB Studios,50000,2015-02-24,2018-09-17,2015.0
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Activision,PlatinumGames,40000,2016-05-24,2018-04-15,2016.0
Sudden Strike 4,Kalypso Media,Kite Games,30000,2017-08-15,2018-03-24,2017.0
Accel World vs. Sword Art Online: Millennium Twilight,Namco Bandai Games,Namco Bandai Games,30000,2017-07-07,2018-07-04,2017.0
TrackMania Turbo,Ubisoft,Nadeo,40000,2016-03-22,2018-05-29,2016.0
Guilty Gear Xrd REV 2,Aksys Games,Arc System Works,10000,2017-05-26,2018-08-04,2017.0
SpongeBob: HeroPants,Activision,Behaviour Interactive,0,2015-02-03,2018-04-15,2015.0
Just Dance 2018,Ubisoft,Ubisoft Paris,30000,2017-10-24,2018-04-06,2017.0
Sega Genesis Classics,Sega,Sega,30000,2018-05-29,2018-09-22,2018.0
Resident Evil: Revelations 2,Capcom,Capcom,20000,2015-02-25,2018-04-15,2015.0
Dead or Alive 5 Last Round,Tecmo Koei,Team Ninja,30000,2015-02-17,2018-11-20,2015.0
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,30000,2016-09-13,2018-04-14,2016.0
Resident Evil: Origins Collection,Capcom,Capcom,20000,2016-01-19,2018-09-04,2016.0
Battlefield V,Electronic Arts,EA DICE,90000,2018-11-20,2018-12-19,2018.0
Yooka-Laylee,Sold Out,Playtonic Games,40000,2017-04-11,2018-05-31,2017.0
Lost Dimension,Atlus,Lancarse,20000,2015-07-28,2018-11-24,2015.0
The Technomancer,Focus Home Interactive,Spiders,40000,2016-06-28,2018-06-27,2016.0
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Activision,PlatinumGames,60000,2016-05-24,2018-04-15,2016.0
We Happy Few,Gearbox Software,Compulsion Games,10000,2018-08-10,2018-09-17,2018.0
Nights of Azure,Tecmo Koei,Gust,40000,2016-03-29,2018-01-21,2016.0
Red Faction: Guerrilla Re-Mars-tered,THQ Nordic,Volition,40000,2018-07-03,2018-04-20,2018.0
Grand Ages: Medieval,Kalypso Media,Gaming Minds Studios,50000,2015-09-29,2018-09-22,2015.0
Earth Defense Force 2: Invaders from Planet Space,Xseed Games,Sandlot,0,2015-12-08,2018-09-13,2015.0
Rugby League Live 4,Tru Blu Entertainment,Big Ant Studios,80000,2017-07-28,2018-08-13,2017.0
American Truck Simulator,SCS Software,SCS Software,90000,2016-02-02,2018-11-29,2016.0
Train Sim World,Maximum Games,Dovetail Games,30000,2018-07-24,2018-06-08,2018.0
Pro Evolution Soccer 2018,Konami Digital Entertainment,Konami Digital Entertainment,40000,2017-09-12,2018-04-24,2017.0
Life Is Strange: Before the Storm,Square Enix,Deck Nine,0,2018-03-06,2018-07-09,2018.0
Just Dance: Disney Party 2,Ubisoft,Ubisoft San Francisco,10000,2015-10-20,2018-04-07,2015.0
Strange Brigade,Rebellion Developments,Rebellion Developments,30000,2018-08-28,2018-04-26,2018.0
Grand Kingdom,NIS America,Monochrome Corporation,10000,2016-06-28,2018-07-03,2016.0
Rugby 15,Maximum Games,HB Studios,50000,2015-02-24,2018-09-17,2015.0
NBA 2K18,2K Sports,Visual Concepts,10000,2017-09-19,2018-04-02,2017.0
MXGP 3: The Official Motocross Videogame,Milestone,Milestone,20000,2017-06-20,2018-06-25,2017.0
Shining Resonance RefrainRead the review,Sega,Media.Vision,10000,2018-07-10,2018-09-15,2018.0
Bladestorm: Nightmare,Tecmo Koei,Omega Force,20000,2015-03-03,2018-05-30,2015.0
MXGP 3: The Official Motocross Videogame,Milestone S.r.l.,Milestone,20000,2017-11-17,2018-06-25,2017.0
FIFA 18,EA Sports,EA Vancouver,80000,2017-09-29,2018-04-02,2017.0
Lost Dimension,Atlus,Lancarse,10000,2015-07-28,2018-11-24,2015.0
Agatha Christie's The ABC Murders,Unfinished Pixel,Artefacts Studio,20000,2016-02-23,2018-06-27,2016.0
TT Isle of Man: Ride on the Edge,Big Ben Interactive,Kylotonn,30000,2018-03-06,2018-03-07,2018.0
Ride 2,Milestone S.r.l,Milestone S.r.l.,10000,2017-02-14,2018-06-25,2017.0
Cartoon Network: Battle Crashers,GameMill Entertainment,Magic Pockets,40000,2017-10-31,2020-09-25,2017.0
Just Dance: Disney Party 2,Ubisoft,Ubisoft San Francisco,10000,2015-10-20,2018-04-07,2015.0
Earth Defense Force 4.1: The Shadow of New Despair,Xseed Games,Sandlot,20000,2015-12-08,2018-04-26,2015.0
Ben 10 (2017),Outright Games,Torus Games,30000,2017-11-14,2019-01-21,2017.0
Bulletstorm: Full Clip Edition,Gearbox Software,People Can Fly,10000,2017-04-07,2018-06-25,2017.0
Mirror's Edge Catalyst,Electronic Arts,EA DICE,60000,2016-06-07,2019-03-25,2016.0
The Sexy Brutale,Badland Games,Tequila Works,20000,2017-08-29,2018-09-12,2017.0
Tokyo Twilight Ghost Hunters,Aksys Games,Toybox Games,10000,2015-03-10,2018-12-02,2015.0
Legend of Kay Anniversary,Nordic Games,Neon Studios,30000,2015-05-29,2018-09-11,2015.0
Loading Human,Maximum Games,Untold Games,20000,2016-10-13,2018-09-17,2016.0
Shining Resonance Refrain,Sega,Media.Vision,10000,2018-07-10,2018-09-15,2018.0
Micro Machines: World Series,Codemasters,Codemasters,50000,2017-06-30,2018-05-30,2017.0
Root Letter,PQube,Kadokawa Games,40000,2016-11-10,2018-09-20,2016.0
