Title,Publisher,Developer,NA Sales,Release Date,Last Update,Year
The Elder Scrolls V: Skyrim VR,Bethesda Softworks,Bethesda Softworks,1130000,2017-11-17,2018-09-11,2017.0
Crash Bandicoot N. Sane Trilogy,Activision,Toys for Bob,1110000,2018-06-29,2018-11-07,2018.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,1110000,2017-11-14,2018-02-11,2017.0
Mafia III,2K Games,Hangar 13,1110000,2016-10-07,2018-04-02,2016.0
Just Dance 2016,Ubisoft,Ubisoft Paris,1110000,2015-10-20,2018-04-05,2015.0
FIFA 18,EA Sports,EA Vancouver,1100000,2017-09-29,2018-04-02,2017.0
MLB The Show 18,Sony Interactive Entertainment,SIE San Diego Studio,1060000,2018-03-27,2018-09-17,2018.0
The Evil Within 2,Bethesda Softworks,Tango Gameworks,1050000,2017-10-13,2018-05-10,2017.0
Prey (2017),Bethesda Softworks,Arkane Studios,1040000,2017-05-05,2018-01-18,2017.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,1020000,2015-06-12,2018-04-06,2015.0
NBA 2K16,2K Sports,Visual Concepts,1010000,2015-09-29,2018-03-28,2015.0
MLB 15: The Show,Sony Computer Entertainment America,SCE San Diego Studio,1010000,2015-03-31,2018-05-01,2015.0
Just Cause 3,Square Enix,Avalanche Studios,1010000,2015-12-01,2018-04-04,2015.0
Madden NFL 16,EA Sports,EA Tiburon,1010000,2015-08-25,2018-03-31,2015.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,1010000,2016-01-26,2018-04-06,2016.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,1010000,2015-06-12,2018-04-06,2015.0
EvolveRead the review,2K Games,Turtle Rock Studios,1010000,2015-02-10,2018-05-10,2015.0
Far Cry: Primal,Ubisoft,Ubisoft Montreal,1000000,2016-02-23,2018-04-03,2016.0
Just Dance 2017,Ubisoft,Ubisoft Paris,1000000,2016-10-25,2018-04-06,2016.0
WWE 2K19,2K Sports,Visual Concepts,980000,2018-10-09,2018-06-22,2018.0
EA Sports UFC 3,EA Sports,EA Vancouver,970000,2018-02-02,2018-02-11,2018.0
Sea of Thieves,Microsoft Studios,Rare Ltd.,960000,2018-03-20,2018-09-25,2018.0
MLB 16: The Show,Sony Computer Entertainment America,SCE San Diego Studio,960000,2016-03-29,2018-04-20,2016.0
Fallout 76,Bethesda Softworks,Bethesda Game Studios,930000,2018-11-14,2018-11-02,2018.0
