Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Metal: Hellsinger,Funcom,The Outsiders,1000000,2022-09-15,2024-05-17,2022.0
Microsoft Flight Simulator (2020),Xbox Game Studios,Asobo Studio,1000000,2020-08-18,2020-08-04,2020.0
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,Konami,Nintendo,1000000,2023-11-16,2023-12-28,2023.0
Monster Strike 3DS,"mixi, Inc","mixi, Inc",1000000,2015-12-17,2018-01-07,2015.0
Moonlighter,11 bit studios,Digital Sun,1000000,2018-05-29,2020-10-09,2018.0
Mordhau,Triternion,Triternion,1000000,2019-04-29,2019-05-06,2019.0
Mortal Shell,Playstack,Cold Symmetry,1000000,2020-08-18,2024-05-16,2020.0
My Time At Portia,Team17 Digital Ltd,Pathea Games,1000000,2019-01-15,2019-04-15,2019.0
Needy Streamer Overload,WSS playground,WSS playground,1000000,2022-01-21,2023-06-30,2022.0
Octopath Traveler II,Square Enix,Square Enix,1000000,2023-02-24,2023-06-07,2023.0
Outward,Deep Silver,Nine Dots Studio,1000000,2019-03-26,2020-12-01,2019.0
Oxenfree,Night School Studio,Night School Studio,1000000,2016-01-15,2021-02-12,2016.0
Persona 3 Reload,Sega,Atlus,1000000,2024-02-02,2024-02-08,2024.0
Planet ZooRead the review,Frontier Developments,Frontier Developments,1000000,2019-11-05,2019-06-02,2019.0
Pokken Tournament,Nintendo,Namco Bandai Games,1000000,2016-03-18,2018-01-24,2016.0
Puyo Puyo TetrisRead the review,Sega,Sonic Team,1000000,2017-04-25,2018-07-04,2017.0
Remnant 2,Gearbox Publishing,Gunfire Games,1000000,2023-07-25,2023-08-02,2023.0
Resident Evil 6,Capcom,Capcom,1000000,2019-10-29,2019-06-16,2019.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,1000000,2015-11-10,2018-04-11,2015.0
Risk of Rain 2,Gearbox Publishing,Hopoo Games,1000000,2019-03-28,2019-05-03,2019.0
Sakuna: Of Rice and Ruin,Xseed Games,Edelweiss,1000000,2020-11-10,2020-11-25,2020.0
Salt and Sanctuary,Ska Studios,Ska Studios,1000000,2016-03-15,2021-01-27,2016.0
Scarlet Nexus,Bandai Namco Entertainment,Bandai Namco Games,1000000,2021-06-25,2022-04-14,2021.0
Sniper: Ghost Warrior 3,CI Games,CI Games,1000000,2017-04-25,2021-01-11,2017.0
Sniper: Ghost Warrior Contracts,CI Games,CI Games,1000000,2019-11-22,2021-01-11,2019.0
SnowRunner,Focus Home Interactive,Saber Interactive,1000000,2020-04-28,2020-11-27,2020.0
Sonic Mania,Sega,PagodaWest Games,1000000,2017-08-15,2020-10-23,2017.0
Spintires: MudRunner,Focus Home Interactive,Saber Interactive,1000000,2017-10-31,2020-11-27,2017.0
Spiritfarer,Thunder Lotus Games,Thunder Lotus Games,1000000,2020-08-18,2021-04-20,2020.0
StarCraft II: Legacy of the VoidRead the review,Blizzard Entertainment,Blizzard Entertainment,1000000,2015-11-10,2018-05-31,2015.0
Stellar Blade,Sony Interactive Entertainment,Shift Up,1000000,2024-04-26,2024-01-31,2024.0
Story of Seasons: Pioneers of Olive TownRead the review,Marvelous,Marvelous,1000000,2021-03-26,2021-02-10,2021.0
Story of Seasons: Pioneers of Olive Town,Xseed Games,Marvelous,1000000,2021-09-15,2021-10-05,2021.0
Teenage Mutant Ninja Turtles: Shredder's Revenge,DotEmu,Tribute Games,1000000,2022-06-16,2022-07-13,2022.0
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Konami,Digital Eclipse,1000000,2022-08-30,2023-04-07,2022.0
The Exit 8,Kotake Create,Kotake Create,1000000,2023-11-29,2024-08-08,2023.0
The Great Ace Attorney Chronicles,Capcom,Capcom,1000000,2021-07-27,2022-04-15,2021.0
The Scroll of Taiwu,ConchShip Games,ConchShip Games,1000000,2018-09-21,2021-08-16,2018.0
Thief Simulator,Forever Entertainment S.A.,Noble Muffins,1000000,2019-05-16,2021-07-16,2019.0
Tony Hawk's Pro Skater 1 + 2,Activision,Vicarious Visions,1000000,2020-09-04,2020-11-03,2020.0
Total War: Three Kingdoms,Sega,Creative Assembly,1000000,2019-05-23,2018-01-10,2019.0
Trials of Mana,Square Enix,Square Enix,1000000,2020-04-24,2021-02-12,2020.0
Triangle Strategy,Square Enix,Square Enix,1000000,2022-03-04,2022-12-21,2022.0
Two Point Hospital,Sega,Two Point Studio,1000000,2018-08-30,2019-07-24,2018.0
Unpacking,Humble Bundle,Witch Beam,1000000,2021-11-02,2021-12-14,2021.0
Untitled Goose Game,Panic,House House,1000000,2019-09-20,2021-01-24,2019.0
Valkyria Chronicles 4,Sega,Sega,1000000,2018-09-25,2021-01-20,2018.0
Warhammer: End Times – Vermintide,Fatshark,Fatshark,1000000,2015-10-23,2021-01-21,2015.0
Wo Long: Fallen Dynasty,Koei Tecmo,Team Ninja,1000000,2023-03-03,2022-06-13,2023.0
Dragon's Dogma: Dark Arisen,Capcom,Capcom,970000,2016-01-15,2019-03-22,2016.0
Total War: Warhammer II,Sega,Creative Assembly,960000,2017-09-28,2018-09-22,2017.0
Football Manager 2018,Sega,Sports Interactive,960000,2017-11-10,2018-05-31,2017.0
Bravely Default IIRead the review,Nintendo,Silicon Studio,950000,2021-02-26,2019-12-17,2021.0
Warriors Orochi 4,Koei Tecmo,Omega Force,950000,2018-10-16,2020-10-17,2018.0
Exoprimal,Capcom,Capcom,940000,2023-07-14,2024-05-12,2023.0
Zombie Army Trilogy,Rebellion Developments,Rebellion Developments,940000,2015-03-06,2018-05-30,2015.0
Portal Knights,505 Games,Keen Games,910000,2016-02-25,2018-07-03,2016.0
Mario & Sonic at the Tokyo 2020 Olympic GamesRead the review,Sega,Sega,900000,2019-11-05,2019-06-12,2019.0
Ni no Kuni II: Revenant Kingdom,Bandai Namco Entertainment,Level 5,900000,2018-03-23,2021-01-22,2018.0
Persona 4 Golden,Sega,Atlus,900000,2020-06-13,2020-08-05,2020.0
Dead Rising 4,Microsoft Studios,Capcom,870000,2016-12-06,2018-09-25,2016.0
Mafia III,2K Games,Hangar 13,860000,2016-10-07,2018-04-02,2016.0
SUPERHOT,SUPERHOT Team,SUPERHOT Team,840000,2016-02-25,2018-11-08,2016.0
Dead Cells,Motion Twin,Motion Twin,830000,2017-05-10,2018-08-06,2017.0
Predator: Hunting Grounds,Sony Computer Entertainment,IllFonic,830000,2020-04-24,2019-06-20,2020.0
Dragon Ball: Xenoverse,Namco Bandai Games,Dimps Corporation,820000,2015-02-27,2018-09-11,2015.0
theHunter: Call of the Wild,Maximum Games,Expansive Worlds,820000,2017-03-07,2018-06-19,2017.0
Triangle StrategyRead the review,Nintendo,Square Enix,800000,2022-03-04,2022-04-08,2022.0
Yakuza 6: The Song of Life,Sega,Sega,800000,2018-04-17,2018-01-03,2018.0
Farming Simulator 17,Focus Home Interactive,Giants Software,800000,2016-10-25,2018-04-06,2016.0
Dragon Ball FighterZ,Namco Bandai Games,Arc System Works,770000,2018-01-26,2018-04-02,2018.0
Dynasty Warriors 9,Koei Tecmo,Omega Force,730000,2018-02-13,2020-10-17,2018.0
Homeworld Remastered Collection,Gearbox Software,Gearbox Software,730000,2015-02-25,2018-09-22,2015.0
Bendy and the Ink Machine,Joey Drew Studios Inc.,TheMeatly Games,720000,2018-02-28,2018-12-19,2018.0
Prey (2017),Bethesda Softworks,Arkane Studios,700000,2017-05-05,2018-01-18,2017.0
Attack on Titan,Koei Tecmo,Omega Force,700000,2016-08-30,2021-01-22,2016.0
Bravely Second: End Layer,Nintendo,Silicon Studio,700000,2016-04-15,2018-01-08,2016.0
Tennis World Tour,Bigben Interactive,Breakpoint Studio,700000,2018-05-22,2021-04-26,2018.0
Resident Evil VII: Biohazard,Capcom,Capcom,670000,2017-01-24,2018-01-15,2017.0
Resident Evil: Revelations 2,Capcom,Capcom,660000,2015-02-25,2018-04-15,2015.0
Hand of Fate,Defiant Development,Defiant Development,620000,2015-02-17,2019-04-21,2015.0
Pixel Piracy,Re-Logic,Quadro Delta,620000,2015-04-23,2018-08-09,2015.0
Wolfenstein: The Old Blood,Bethesda Softworks,MachineGames,600000,2015-05-05,2018-04-21,2015.0
Bloodstained: Curse of the Moon,Inti Creates,Inti Creates,600000,2018-05-24,2021-02-08,2018.0
F1 Manager 2022,Frontier Developments,Frontier Developments,600000,2022-08-30,2023-01-10,2022.0
Shin Megami Tensei III: Nocturne HD Remaster,Sega,Atlus,600000,2021-05-21,2021-04-28,2021.0
VA-11 HALL-A,Ysbryd Games,Sukeban Games,600000,2016-06-21,2020-12-01,2016.0
Wartales,Shiro Games,Shiro Games,600000,2021-12-01,2022-02-09,2021.0
Yakuza 5,Sega,Sega,590000,2015-12-08,2018-01-02,2015.0
I Am Bread,Bossa Studios,Bossa Studios,580000,2015-04-09,2018-08-11,2015.0
ABZURead the review,505 Games,Giant Squid Studios,580000,2016-08-02,2018-08-01,2016.0
Uncharted: Legacy of Thieves Collection,Sony Interactive Entertainment,Naughty Dog,570000,2022-01-28,2022-03-06,2022.0
Final Fantasy X / X-2 HD Remaster,Square Enix,Square Enix,570000,2016-05-12,2019-03-22,2016.0
Mega Man Legacy Collection,Capcom,Digital Eclipse Software,570000,2016-02-23,2018-05-29,2016.0
Hatsune Miku: Project Diva Future Tone,Sega,Sega,550000,2017-01-10,2018-09-21,2017.0
ToeJam & Earl: Back in the Groove,HumaNature Studios,HumaNature Studios,550000,2019-03-01,2021-09-17,2019.0
Dragon Ball: Xenoverse 2,Namco Bandai Games,Dimps Corporation,540000,2016-10-28,2018-03-03,2016.0
NBA 2K18,2K Sports,Visual Concepts,540000,2017-09-19,2018-04-02,2017.0
Attack on Titan 2,Koei Tecmo,Omega Force,520000,2018-03-20,2020-10-17,2018.0
Shovel Knight,Yacht Club Games,Yacht Club Games,500000,2015-11-03,2018-11-21,2015.0
13 Sentinels: Aegis RimRead the review,Atlus,Vanillaware,500000,2020-09-22,2019-03-22,2020.0
Atelier Ryza: Ever Darkness & the Secret Hideout,Koei Tecmo,Gust,500000,2019-10-29,2020-12-09,2019.0
Captain Tsubasa: Rise of New Champions,Bandai Namco Entertainment,Tamsoft,500000,2020-08-28,2021-02-19,2020.0
Core Keeper,Fireshine Games,Pugstorm Game Studios,500000,2022-03-08,2022-03-11,2022.0
Darkest Dungeon 2Read the review,Red Hook Studios,Red Hook Studios,500000,2023-05-08,2019-06-27,2023.0
Digimon Survive,Bandai Namco Entertainment,Hyde,500000,2022-07-29,2022-12-02,2022.0
Doki Doki Literature Club Plus!,Serenity Forge,Team Salvato,500000,2021-06-30,2021-07-20,2021.0
eBASEBALL Powerful Pro Baseball 2022,Konami,Konami,500000,2022-04-21,2022-06-09,2022.0
Evil Dead: The Game,Boss Team Games,Saber Interactive,500000,2022-05-13,2024-05-17,2022.0
Fishing Spirits,Bandai Namco Games,Bandai Namco Games,500000,2019-07-25,2020-07-08,2019.0
Hello Neighbor,TinyBuild Games,Dynamic Pixels,500000,2017-12-08,2021-02-08,2017.0
Insurgency: SandstormRead the review,Focus Home Interactive,New World Interactive,500000,2018-12-12,2018-12-12,2018.0
Jikkyou Powerful Pro Baseball 2016,Konami,Konami,500000,2016-04-28,2021-01-30,2016.0
Live A Live,Nintendo,Square Enix,500000,2022-07-22,2022-09-02,2022.0
Melty Blood: Type Lumina,Delightworks,French-Bread,500000,2021-09-30,2022-03-15,2021.0
Mini Motorways,Dinosaur Polo Club,Dinosaur Polo Club,500000,2019-09-19,2021-12-07,2019.0
My Friend Pedro,Devolver Digital,DeadToast Entertainment,500000,2019-06-20,2021-02-19,2019.0
My Hero One's Justice,Bandai Namco Entertainment,Byking,500000,2018-10-26,2021-02-09,2018.0
Romance of the Three Kingdoms XIV,Koei Tecmo,Koei,500000,2020-02-28,2020-10-17,2020.0
Root Letter,PQube,Kadokawa Games,500000,2016-11-10,2022-04-24,2016.0
Rune Factory 5Read the review,Marvelous Entertainment,Xseed Games,500000,2022-03-22,2019-02-13,2022.0
Songs of Conquest,Coffee Stain Publishing,Lavapotion,500000,2024-05-20,2019-06-10,2024.0
Temtem,Humble Bundle,CremaGames,500000,2022-09-06,2024-05-17,2022.0
Unicorn Overlord,Atlus,Vanillaware,500000,2024-03-08,2024-04-02,2024.0
Victoria 3,Paradox Interactive,Paradox Development,500000,2022-10-25,2022-11-19,2022.0
Warhammer: The End Times - Vermintide,Games Workshop,Fatshark,500000,2016-10-04,2018-08-11,2016.0
Wizard of Legend,Humble Bundle,Contingent99,500000,2018-05-15,2021-02-09,2018.0
Yakuza 0,Sega,Sega,500000,2017-01-24,2020-12-15,2017.0
Ys VIII: Lacrimosa of Dana,NIS America,Nihon Falcom Corporation,500000,2017-09-12,2021-02-09,2017.0
Final Fantasy XV: Windows Edition,Square Enix,Square Enix,490000,2018-03-06,2018-09-07,2018.0
The Escapists 2,Team17 Software,Team17 Software,490000,2017-08-22,2019-02-22,2017.0
Uncharted: Legacy of Thieves Collection,PlayStation PC,Naughty Dog,480000,2022-10-19,2021-09-11,2022.0
Jurassic World Evolution,Frontier Developments,Frontier Developments,480000,2018-07-03,2018-04-20,2018.0
Galactic Civilizations IIIRead the review,Stardock,Stardock,480000,2015-05-14,2018-11-23,2015.0
Life Is Strange: Before the Storm,Square Enix,Deck Nine,470000,2017-08-31,2018-07-09,2017.0
Victor Vran ARPG,EuroVideo Medien,Haemimont Games,450000,2015-07-01,2019-02-09,2015.0
Marvel's Spider-Man: Miles Morales,PlayStation PC,Insomniac Games,450000,2022-11-18,2022-06-02,2022.0
BlazBlue: Cross Tag Battle,Arc System Works,Arc System Works,450000,2018-06-05,2021-02-19,2018.0
Yakuza: Like a DragonRead the review,Sega,Sega,450000,2020-11-13,2019-11-05,2020.0
Bayonetta,Sega,PlatinumGames,420000,2017-04-11,2020-08-02,2017.0
Hellblade: Senua's Sacrifice,Ninja Theory,Ninja Theory,420000,2017-08-08,2019-04-11,2017.0
Fate/Samurai Remnant,Koei Tecmo,Omega Force,410000,2023-09-28,2023-10-06,2023.0
Samurai Warriors 5,Koei Tecmo,Omega Force,410000,2021-07-27,2021-07-27,2021.0
Shadow Tactics: Blades of the Shogun,Daedalic Entertainment,Mimimi Productions,410000,2016-12-06,2018-09-15,2016.0
Salt and Sanctuary,Ska Studios,Ska Studios,400000,2016-03-15,2019-02-10,2016.0
God Wars,Kadokawa Games,Kadokawa Games,400000,2017-06-20,2020-02-17,2017.0
Gray Zone Warfare,MADFINGER Games,MADFINGER Games,400000,2024-04-30,2024-05-02,2024.0
Root Letter,PQube,Kadokawa Games,400000,2016-11-10,2021-01-30,2016.0
Trine 3: The Artifacts of Power,Frozenbyte,Frozenbyte,390000,2015-08-20,2018-10-27,2015.0
Rebel Galaxy,Double Damage Games,Double Damage Games,380000,2016-01-01,2018-01-01,2016.0
This is the Police,EuroVideo Medien,Weappy Studio,380000,2016-08-02,2019-04-08,2016.0
Disgaea 5,NIS America,Nippon Ichi Software,370000,2015-10-06,2021-02-03,2015.0
Shovel Knight,Yacht Club Games,Yacht Club Games,370000,2019-04-09,2019-01-28,2019.0
Clustertruck,TinyBuild Games,Landfall,370000,2016-09-27,2018-03-01,2016.0
The Last of Us Part I,PlayStation PC,Naughty Dog,370000,2023-03-28,2022-06-10,2023.0
Grey Goo,Grey Box,Petroglyph Games,360000,2015-01-23,2019-01-04,2015.0
Cossacks 3,GSC Game World,GSC Game World,360000,2016-09-20,2018-09-22,2016.0
Atelier Ryza 2: Lost Legends & the Secret Fairy,Koei Tecmo,Gust,360000,2021-01-26,2020-12-09,2021.0
Dead or Alive 6,Koei Tecmo,Team Ninja,350000,2019-03-01,2020-10-17,2019.0
Dark Souls: Remastered,Bandai Namco Entertainment,From Software,350000,2018-05-25,2018-06-05,2018.0
Nioh: Complete Edition,Koei Tecmo,Team Ninja,350000,2017-11-07,2020-08-05,2017.0
One Piece: Pirate Warriors 3,Namco Bandai Games,Omega Force,350000,2015-08-25,2018-01-12,2015.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,340000,2015-06-12,2018-04-06,2015.0
Fatal Frame: Maiden of Black Water,Koei Tecmo,Koei Tecmo Games,340000,2021-10-28,2022-02-28,2021.0
Transport Fever,Astragon,Urban Games,340000,2016-11-08,2018-09-22,2016.0
Death Stranding Director's CutRead the review,Sony Interactive Entertainment,Kojima Productions,340000,2021-09-24,2021-06-10,2021.0
Dead or Alive 5 Last Round,Koei Tecmo,Team Ninja,330000,2015-02-17,2021-02-05,2015.0
Battlefleet Gothic: Armada,Koch Media,Tindalos Interactive,320000,2016-04-21,2018-09-22,2016.0
South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,320000,2017-10-17,2018-04-06,2017.0
The Jackbox Party Pack 3,Jackbox Games,Jackbox Games,320000,2016-10-18,2019-04-21,2016.0
Spintires: MudRunner,Focus Home Interactive,Saber Interactive,320000,2017-10-31,2018-05-30,2017.0
F1 2016,Codemasters,Codemasters,320000,2017-01-01,2018-05-14,2017.0
Fairy Tail,Koei Tecmo,Gust,310000,2020-07-31,2021-02-07,2020.0
Warriors  Orochi 4,Koei Tecmo,Omega Force,310000,2018-10-16,2018-11-11,2018.0
Her Story,Sam Barlow,Sam Barlow,310000,2015-06-24,2018-01-06,2015.0
Agony,PlayWay,Madmind Studio,310000,2018-05-29,2020-03-18,2018.0
Agony,PlayWay,Madmind Studio,310000,2018-05-29,2021-01-24,2018.0
.hack//G.U. Last Recode,Bandai Namco Entertainment,CyberConnect2,300000,2017-11-03,2021-02-09,2017.0
Agents of Mayhem,Deep Silver,Volition,300000,2017-08-15,2021-02-14,2017.0
Atelier Ryza 3: Alchemist of the End & the Secret Key,Koei Tecmo,Gust,300000,2023-03-24,2023-04-27,2023.0
Bloodstained: Curse of the MoonRead the review,Inti Creates,Inti Creates,300000,2018-05-24,2018-06-05,2018.0
Earth Defense Force 5,D3 Publisher,Sandlot,300000,2018-12-11,2018-01-07,2018.0
Earth Defense Force 6,D3 Publisher,Sandlot,300000,2022-08-25,2022-09-02,2022.0
Everspace 2,Rockfish Games,Rockfish Games,300000,2023-04-06,2023-04-06,2023.0
Master Detective Archives: Rain Code,Spike Chunsoft,Too Kyo Games,300000,2023-06-30,2023-08-04,2023.0
Slime Rancher 2,Monomi Park,Monomi Park,300000,2022-09-22,2022-09-23,2022.0
SNK Heroines: Tag Team Frenzy,NIS America,SNK,300000,2018-09-07,2021-02-12,2018.0
VA-11 HALL-A,Ysbryd Games,Sukeban Games,300000,2016-06-21,2018-01-06,2016.0
The Jackbox Party Pack 2,Jackbox Games,Jackbox Games,300000,2015-10-13,2019-04-21,2015.0
Pit People,The Behemoth,The Behemoth,300000,2018-03-02,2018-09-11,2018.0
Talon Man Remastered,Out of crumpét's:,OutOfTime,290000,2018-01-01,2018-12-12,2018.0
Worms: WMD,Team17 Digital Ltd,Team17 Digital Ltd,290000,2016-08-23,2018-08-12,2016.0
Tales of Berseria,Namco Bandai Games,Namco Bandai Games,280000,2018-01-01,2018-05-25,2018.0
Little Nightmares,Namco Bandai Games,Tarsier Studios,280000,2017-04-28,2019-02-20,2017.0
Dynasty Warriors 9 Empires,Koei Tecmo,Omega Force,280000,2022-02-15,2022-02-28,2022.0
Mega Man Legacy Collection,Capcom,Digital Eclipse Software,270000,2015-08-25,2018-05-29,2015.0
Battle Royale Trainer,Trickjump Games Ltd,Trickjump Games Ltd,260000,2018-01-04,2019-02-17,2018.0
Final Quest II,Back To Basics Gaming,RPG Video,260000,2016-10-18,2019-02-17,2016.0
Greyfox RPG,EQ Games,Lesley Dodd,260000,2015-02-24,2019-02-17,2015.0
The Four Kings Casino and Slots,Digital Leisure Inc.,Digital Leisure Inc.,260000,2015-06-01,2019-02-17,2015.0
PixARK,Snail Games USA,Snail Games USA,260000,2018-03-27,2019-05-19,2018.0
Elex,THQ Nordic,Piranha Bytes,250000,2017-10-17,2018-06-30,2017.0
Legend of Mysteria RPG,EQ Games,Labyrinthine,250000,2015-10-09,2019-02-16,2015.0
Grand Pigeon's Duty,WolfgangIs,WolfgangIs,250000,2016-08-05,2019-02-16,2016.0
Owlboy,D-Pad Studio,D-Pad Studios,250000,2016-11-01,2019-02-16,2016.0
Song of the Deep,GameTrust,Insomniac Games,250000,2016-07-12,2023-12-24,2016.0
Age of Wonders 4,Paradox Interactive,Triumph Studios,250000,2023-05-02,2023-05-10,2023.0
Hollow Knight,Team Cherry,Team Cherry,250000,2018-06-12,2018-12-01,2018.0
Kamiko,Flyhigh Works,Skipmore,250000,2017-04-27,2018-01-16,2017.0
Sea of Stars,Sabotage Studio,Sabotage Studio,250000,2023-08-29,2023-08-30,2023.0
Touhou Luna Nights,Playism,Team Ladybug,250000,2018-08-20,2021-04-12,2018.0
Toukiden 2,Koei Tecmo,Omega Force,250000,2017-03-21,2021-02-07,2017.0
World War Z,Focus Home Interactive,Saber Interactive,250000,2019-04-16,2019-03-20,2019.0
Streamline,Proletariat Inc.,Proletariat Inc.,250000,2016-09-30,2019-02-16,2016.0
Spikit,Back To Basics Gaming,Blastoid Entertainment,250000,2016-08-09,2019-02-16,2016.0
Momodora: Reverie Under the Moonlight,AGM Playism,Bombservice,250000,2016-03-04,2018-01-05,2016.0
Project Highrise: Architect's Edition,Kasedo Games,SomaSim,250000,2016-09-08,2019-03-22,2016.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,250000,2016-06-28,2018-03-31,2016.0
Detention,Coconut Island Games,Red Candle Games,240000,2017-01-12,2019-02-11,2017.0
The Land of Dasthir,Back To Basics Gaming,RPG Video,240000,2017-01-10,2019-02-11,2017.0
Reset 1-1,New Reality Games,Panda Indie Studio,240000,2016-08-30,2019-02-11,2016.0
Under Zero,Dagestan Technology,Dagestan Technology,240000,2016-03-25,2019-02-11,2016.0
God Eater 2: Rage Burst,Namco Bandai Games,Namco Bandai Games,240000,2016-10-01,2018-07-04,2016.0
Sleeping Valley,White Dog,White Dog,240000,2016-10-08,2019-02-06,2016.0
Warriors of Vilvatikta,Back To Basics Gaming,RPG Video,240000,2016-08-26,2019-02-06,2016.0
Crawl,Powerhoof Pty Ltd,Powerhoof,240000,2017-04-11,2019-02-06,2017.0
Ninja Gaiden: Master Collection,Koei Tecmo,Team Ninja,240000,2021-06-10,2021-07-27,2021.0
Shelter 2,Might and Delight,Might and Delight,240000,2015-03-09,2019-02-06,2015.0
Shake Your Money Simulator 2016,CharlieH,CharlieH,240000,2016-03-18,2019-02-06,2016.0
Energy Cycle,Sometimes You,Sometimes You,240000,2016-01-13,2019-02-03,2016.0
Mad Hunter,Unknown,Unknown,240000,2016-11-29,2019-02-03,2016.0
Jet Racing Extreme: The First Encounter,Real Dynamics,Real Dynamics,240000,2015-07-14,2019-02-03,2015.0
Evoland 2,Shiro Games,Shiro Games,230000,2015-08-25,2018-08-10,2015.0
Sniper: Ghost Warrior 3,City Interactive,City Interactive,230000,2017-04-25,2018-05-29,2017.0
The Evil Within 2,Bethesda Softworks,Tango Gameworks,230000,2017-10-13,2018-05-10,2017.0
Total War Saga: Thrones of BritanniaRead the review,Sega,Creative Assembly,220000,2018-05-03,2018-05-15,2018.0
Attack on Titan 2: Final Battle,Koei Tecmo,Omega Force,220000,2019-07-05,2021-02-07,2019.0
Chroma Squad,Behold Studios,Behold Studios,220000,2015-04-30,2019-03-08,2015.0
Night in the Woods,Unknown,Unknown,220000,2017-02-21,2017-11-28,2017.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,210000,2016-01-26,2018-04-06,2016.0
Pillars of Eternity II: Deadfire,Versus Evil,Obsidian Entertainment,200000,2018-12-31,2018-01-11,2018.0
Agony,PlayWay,Madmind Studio,200000,2018-05-29,2018-04-30,2018.0
Atelier Sophie 2: The Alchemist of the Mysterious Dream,Koei Tecmo,Gust,200000,2022-02-25,2022-05-11,2022.0
Azur Lane: Crosswave,Idea Factory International,Felistella,200000,2020-02-13,2021-02-19,2020.0
Blue Reflection,Koei Tecmo,Gust,200000,2017-09-26,2022-02-28,2017.0
Carrion,Devolver Digital,Phobia Game Studio,200000,2020-07-23,2021-02-19,2020.0
Disgaea 5 Complete,NIS America,Nippon Ichi Software,200000,2017-05-23,2018-02-25,2017.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous,200000,2017-01-17,2021-01-30,2017.0
Metro Exodus,Deep Silver,4a-games,200000,2019-02-15,2018-01-01,2019.0
Nobunaga's Ambition: Shinsei,Koei Tecmo,Koei Tecmo Games,200000,2022-07-21,2022-11-04,2022.0
Pseudoregalia,rittzler,rittzler,200000,2023-07-28,2024-08-26,2023.0
Shiren the Wanderer: The Mystery Dungeon of Serpentcoil IslandRead the review,Spike Chunsoft,Spike Chunsoft,200000,2024-02-27,2024-01-15,2024.0
Toukiden Kiwami,Koei Tecmo,Omega Force,200000,2015-06-26,2021-02-05,2015.0
Resident Evil Zero,Capcom,Capcom,200000,2016-01-19,2018-09-04,2016.0
The Room Two,Fireproof Games,Fireproof Games,200000,2016-06-05,2017-12-31,2016.0
Space Pilgrim Episode I: Alpha Centauri,GrabTheGames,Pilgrim Adventures,200000,2015-12-21,2019-02-27,2015.0
Call of Duty: Modern Warfare Remastered,Activision,Infinity Ward,190000,2018-01-01,2018-01-14,2018.0
Death Coming,Zodiac Interactive,NEXT Studios,190000,2017-11-06,2019-04-20,2017.0
Shovel Knight,Yacht Club Games,Yacht Club Games,190000,2015-04-21,2018-11-21,2015.0
Dead or Alive Xtreme 3,Koei Tecmo,Team Ninja,190000,2016-03-24,2020-10-16,2016.0
A Hat in Time,Gears for Breakfast,Gears for Breakfast,190000,2017-10-05,2018-08-01,2017.0
Fran Bow,Killmonday Games,Killmonday Games,190000,2015-08-27,2018-01-06,2015.0
Sword Art Online: Fatal Bullet,Namco Bandai Games,Dimps Corporation,180000,2018-02-23,2018-02-23,2018.0
RollerCoaster Tycoon World,Atari,Nvizzio Creations,180000,2016-03-30,2018-09-22,2016.0
Bomber Crew,Curve Digital,Runner Duck,180000,2017-10-19,2019-01-03,2017.0
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Koei Tecmo,Gust,180000,2017-12-21,2020-10-17,2017.0
Nobunaga's Ambition: Awakening,Koei Tecmo,Koei Tecmo Games,180000,2022-07-21,2023-11-03,2022.0
Romance of the Three Kingdoms XIII,Koei Tecmo,Koei,180000,2016-01-28,2020-10-16,2016.0
Samurai Warriors 4-II,KOEI,Koei Tecmo Games,180000,2015-02-11,2020-10-16,2015.0
Taiko Risshiden V DX,Koei Tecmo,Koei Tecmo Games,180000,2022-05-19,2022-08-03,2022.0
Yu-Gi-Oh! Legacy of the Duelist,Konami,Other Ocean Interactive,180000,2016-12-16,2019-04-20,2016.0
BlazBlue: Chrono Phantasma Extend,"H2 Interactive Co., Ltd.",Arc System Works,180000,2016-03-02,2019-04-08,2016.0
Going Medieval,The Irregular Corporation,Foxy Voxel,180000,2021-06-01,2021-06-10,2021.0
Might & Magic Heroes VII,Ubisoft,Limbic Software,170000,2015-09-29,2018-09-21,2015.0
Atelier Sophie: The Alchemist of the Mysterious Book,Koei Tecmo,Gust,170000,2015-11-19,2020-10-16,2015.0
Disgaea PC,NIS America,Nippon Ichi Software,170000,2016-02-24,2017-12-31,2016.0
Dishonored: Death of the Outsider,Bethesda Softworks,Arkane Studios,170000,2017-09-15,2018-03-03,2017.0
Act of Aggression,Focus Home Interactive,Eugen Systems,160000,2015-09-02,2018-09-22,2015.0
VampyrRead the review,Focus Home Interactive,DONTNOD Entertainment,160000,2018-06-05,2018-02-08,2018.0
Okami HD,Capcom,Capcom,160000,2017-12-12,2017-12-31,2017.0
The Surge,Focus Home Interactive,DECK13 Interactive,160000,2017-05-16,2018-01-06,2017.0
