Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
The Last of Us Part IIRead the review,Sony Interactive Entertainment,Naughty Dog,10300000,2020-06-19,2020-07-25,2020.0
Resident Evil 8: Village,Capcom,Capcom,10100000,2021-05-07,2021-05-11,2021.0
Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,10000000,2018-10-05,2020-10-21,2018.0
Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,10000000,2017-10-27,2020-10-21,2017.0
Black Myth: Wukong,Game Science,Game Science,10000000,2024-08-20,2024-08-24,2024.0
Dead Cells,Motion Twin,Motion Twin,10000000,2018-08-07,2020-10-09,2018.0
Dragon Ball FighterZ,Bandai Namco Entertainment,Arc System Works,10000000,2018-01-26,2020-10-27,2018.0
Dragon Ball Xenoverse 2,Bandai Namco Entertainment,Dimps Corporation,10000000,2016-10-25,2020-10-27,2016.0
Far Cry 5,Ubisoft,Ubisoft,10000000,2018-03-27,2020-10-28,2018.0
Final Fantasy XV,Square Enix,Square Enix,10000000,2016-11-29,2020-10-19,2016.0
Metro Exodus,Deep Silver,4a-games,10000000,2019-02-15,2022-02-17,2019.0
NBA 2K18,2K Sports,Visual Concepts,10000000,2017-09-19,2020-10-22,2017.0
NBA 2K22,2K Sports,Visual Concepts,10000000,2021-09-10,2021-09-21,2021.0
Sekiro: Shadows Die Twice,Activision,From Software,10000000,2019-03-22,2021-02-12,2019.0
Spyro Reignited Trilogy,Activision,Toys for Bob,10000000,2018-11-13,2023-09-01,2018.0
Star Wars Jedi: Fallen Order,Electronic Arts,Respawn Entertainment,10000000,2019-11-15,2020-12-30,2019.0
Tekken 7,Bandai Namco Entertainment,Bandai Namco Studios,10000000,2015-03-18,2020-10-09,2015.0
Tom Clancy's Ghost Recon Wildlands,Ubisoft,Ubisoft Paris,10000000,2017-03-07,2020-11-02,2017.0
Tom Clancy's Rainbow Six Siege,Ubisoft,Ubisoft Montreal,10000000,2015-12-01,2020-11-02,2015.0
Tom Clancy's The Division,Ubisoft,Massive Entertainment,10000000,2016-03-08,2020-11-28,2016.0
Tom Clancy's The Division 2,Ubisoft,Massive Entertainment,10000000,2019-03-15,2020-11-28,2019.0
Valheim,Coffee Stain Publishing,Iron Gate AB,10000000,2021-02-02,2021-02-11,2021.0
Watch Dogs 2,Ubisoft,Ubisoft Montreal,10000000,2016-11-15,2020-11-28,2016.0
Ghost of Tsushima,Sony Interactive Entertainment,Sucker Punch,9730000,2020-07-17,2022-07-16,2020.0
Pokémon: Ultra Sun and Ultra Moon,Nintendo,Game Freak,9190000,2017-11-17,2018-08-03,2017.0
Monster Hunter Generations,Capcom,Capcom,9100000,2016-07-15,2020-10-13,2016.0
Super Mario 3D All-StarsRead the review,Nintendo,Nintendo,9070000,2020-09-18,2020-09-04,2020.0
Rust,Facepunch Studios,Facepunch Studios,9020000,2018-02-08,2018-03-19,2018.0
Detroit: Become Human,Sony Interactive Entertainment,Quantic Dream,9000000,2018-05-25,2021-02-22,2018.0
Resident Evil 3 (2020),Capcom,Capcom,9000000,2020-04-03,2020-10-11,2020.0
Star Wars Battlefront II (2017),Electronic Arts,EA DICE,9000000,2017-11-17,2020-10-31,2017.0
Days Gone,Sony Interactive Entertainment,SIE Bend Studio,8940000,2019-04-26,2022-01-06,2019.0
NBA 2K17,2K Sports,Visual Concepts,8500000,2016-09-20,2020-10-22,2016.0
Super Mario Maker 2,Nintendo,Nintendo,8420000,2019-06-28,2019-04-24,2019.0
Devil May Cry 5,Capcom,Capcom,8400000,2019-03-08,2020-10-11,2019.0
Horizon: Forbidden West,Sony Interactive Entertainment,Guerrilla Games,8400000,2022-02-18,2022-02-17,2022.0
Monster Hunter Rise: Sunbreak,Capcom,Capcom,8400000,2022-06-30,2022-07-05,2022.0
Monster Hunter 4,Capcom,Capcom,8300000,2015-02-13,2020-10-13,2015.0
Cuphead,Studio MDHR,Studio MDHR,8000000,2017-09-29,2020-03-11,2017.0
Dragon Ball Z: Kakarot,Bandai Namco Entertainment,CyberConnect2,8000000,2020-01-17,2020-10-09,2020.0
Ghost of TsushimaRead the review,Sony Interactive Entertainment,Sucker Punch,8000000,2020-07-17,2020-07-10,2020.0
NBA 2K16,2K Sports,Visual Concepts,8000000,2015-09-29,2020-10-22,2015.0
NieR: Automata,Square Enix,PlatinumGames,8000000,2017-03-07,2020-12-24,2017.0
Monster Hunter RiseRead the review,Capcom,Capcom,7700000,2021-03-26,2022-08-25,2021.0
Cyberpunk 2077,CD Projekt Red Studio,CD Projekt Red Studio,7670000,2020-11-19,2019-06-10,2020.0
BloodborneRead the review,Sony Computer Entertainment,From Software,7650000,2015-03-24,2018-04-10,2015.0
Resident Evil 4 (2023),Capcom,Capcom,7600000,2023-03-24,2022-06-02,2023.0
Street Fighter V,Capcom,Capcom,7600000,2016-02-16,2020-10-13,2016.0
Kirby and the Forgotten LandRead the review,Nintendo,HAL Laboratory,7520000,2022-03-25,2022-01-15,2022.0
Battlefield V,Electronic Arts,EA DICE,7300000,2018-11-20,2020-10-09,2018.0
The Forest,Endnight Games Ltd,Endnight Games Ltd,7300000,2018-04-30,2023-02-27,2018.0
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Nintendo,Level 5,7300000,2016-09-30,2019-01-26,2016.0
Ark,Studio Wildcard,Studio Wildcard,7260000,2017-08-27,2020-03-19,2017.0
Days Gone,Sony Interactive Entertainment,SIE Bend Studio,7240000,2019-04-26,2019-03-20,2019.0
Persona 5,Atlus,Atlus,7200000,2017-04-04,2020-12-06,2017.0
Ratchet & Clank (2016),Sony Interactive Entertainment,Insomniac Games,7060000,2016-04-12,2018-04-25,2016.0
