game_id,game_name,released,tba,age rating,genre,subgenre,owned,numero_plataformas,rating_top,ratings_count,added,metacritic,suggestions_count,numero_stores
537747,Zengeon,2019-01-18,False,Mature,Action,RPG,1.0,7,0,1,3,0.0,0,0
58813,Resident Evil 2,2019-01-25,False,Mature,Shooter,"Adventure, Action",1512.0,5,5,2117,5157,91.0,528,3
28201,Metro Exodus,2019-02-13,False,Mature,Shooter,Action,4638.0,4,4,1604,7793,81.0,627,5
589202,Trails and Traces: The Tomb of Thomas Tew,2019-02-18,False,Mature,Adventure,Puzzle,7.0,4,0,0,7,0.0,294,4
58755,Devil May Cry 5,2019-03-08,False,Mature,Action,no,3328.0,4,5,1483,6315,88.0,469,2
795339,Dead by Daylight - Demise of the Faithful,2019-03-19,False,Mature,Action,no,1.0,6,0,0,1,0.0,447,2
60783,Outward Definitive Edition,2019-03-25,False,Mature,Adventure,Action,1352.0,6,4,157,1712,65.0,346,6
795319,Dead by Daylight - Ash vs Evil Dead,2019-04-02,False,Mature,Action,no,1.0,6,0,0,1,0.0,271,2
274480,Mortal Kombat 11,2019-04-22,False,Mature,Adventure,"Action, Fighting",3734.0,6,4,1090,5420,82.0,479,4
59359,A Plague Tale: Innocence,2019-05-13,False,Mature,Adventure,Action,3512.0,6,4,1428,6521,82.0,588,6
243185,Sumatra: Fate of Yandi,2019-05-13,False,Mature,Adventure,Puzzle,29.0,4,0,3,36,0.0,550,5
58325,Beat Saber,2019-05-21,False,Teen,Indie,Action,1586.0,3,5,608,2395,90.0,240,2
637477,Splitgate,2019-05-24,False,Mature,Shooter,Action,2512.0,5,4,217,2812,0.0,945,3
257206,Warhammer: Chaosbane,2019-05-31,False,Mature,Adventure,"Action, RPG",1099.0,5,3,84,1264,70.0,528,4
285692,Dungeon Munchies,2019-06-06,False,Teen,Indie,"Adventure, Action",44.0,6,5,4,66,0.0,331,3
270653,Hell Let Loose,2019-06-06,False,Mature,Strategy,"Indie, Action, Simulation",1232.0,3,4,80,1411,77.0,464,2
795343,Dead by Daylight: Ghost Face,2019-06-18,False,Mature,Action,no,1.0,6,0,0,1,0.0,284,2
248397,Judgment (2019),2019-06-25,False,Mature,Adventure,Action,266.0,4,5,63,576,82.0,502,2
650588,Wolfenstein: Youngblood Deutsche Version,2019-07-25,False,Mature,Shooter,Action,33.0,5,0,2,36,0.0,458,3
254652,Apsulov: End of Gods,2019-08-08,False,Mature,Indie,"Adventure, Action",181.0,4,4,30,257,71.0,380,2
58812,Control,2019-08-27,False,Mature,Shooter,"Adventure, Action",5186.0,5,4,1897,9189,84.0,385,5
364864,UltraGoodness 2,2019-09-01,False,Mature,Indie,"Adventure, Action",23.0,4,0,2,24,0.0,283,5
58617,Borderlands 3,2019-09-13,False,Mature,Shooter,"Adventure, Action, RPG",3695.0,6,4,885,5786,83.0,961,5
795346,Dead by Daylight - Stranger Things,2019-09-17,False,Mature,Action,no,1.0,5,0,0,1,0.0,199,1
304184,Oceanhorn 2: Knights of the Lost Realm,2019-09-19,False,Everyone 10+,Indie,"Adventure, Action, RPG",23.0,7,4,36,119,70.0,32,2
376107,Skate City,2019-09-19,False,Mature,Action,"Casual, Simulation, Sports, Indie",11.0,8,3,5,26,70.0,167,6
43608,Deliver Us the Moon,2019-10-09,False,Teen,Indie,"Adventure, Action",734.0,6,4,177,1011,73.0,561,6
262382,Disco Elysium,2019-10-14,False,Mature,Indie,"Adventure, RPG",4735.0,7,5,1165,7374,91.0,629,6
388383,Spirit of the North,2019-11-01,False,Everyone,Indie,"Adventure, Puzzle",240.0,5,4,44,414,61.0,538,5
376934,Pistol Whip,2019-11-07,False,Mature,Shooter,"Indie, Action",380.0,3,4,51,474,87.0,395,2
377011,Terminator: Resistance,2019-11-13,False,Mature,Action,no,439.0,4,4,118,731,54.0,631,4
366852,The Touryst,2019-11-14,False,Everyone,Adventure,Action,472.0,6,4,74,618,82.0,135,3
257201,Star Wars Jedi: Fallen Order,2019-11-15,False,Teen,Adventure,Action,5104.0,4,4,2136,9135,80.0,562,4
324995,Gylt,2019-11-19,False,Mature,Indie,"Adventure, Action, Puzzle",29.0,6,4,26,111,0.0,247,5
408286,13 Sentinels: Aegis Rim,2019-11-28,False,Teen,Adventure,"RPG, Simulation",419.0,3,5,114,799,86.0,290,1
795342,Dead by Daylight - Cursed Legacy,2019-12-03,False,Mature,Action,no,1.0,6,0,1,2,0.0,482,2
430220,Arrog,2019-12-13,False,Everyone 10+,Indie,"Adventure, Puzzle",16.0,6,0,2,26,68.0,58,2
327258,Dragon Ball Z: Kakarot,2020-01-16,False,Teen,Action,RPG,823.0,6,4,144,1193,74.0,300,3
369157,Yakuza: Like a Dragon,2020-01-16,False,Mature,Adventure,"Action, RPG",1516.0,5,5,321,2508,85.0,702,4
59883,Temtem,2020-01-21,False,Everyone 10+,Massively Multiplayer,"Adventure, RPG, Indie",632.0,5,4,77,851,77.0,245,2
379453,The Walking Dead: Saints & Sinners,2020-01-23,False,Mature,Adventure,"Action, RPG, Strategy, Simulation, Indie",739.0,3,4,67,934,80.0,787,2
15730,The Pedestrian,2020-01-29,False,Everyone,Indie,"Platformer, Adventure, Puzzle",662.0,8,4,149,1012,82.0,285,4
493464,Tesla Force,2020-02-20,False,Teen,Shooter,"Adventure, Action, RPG, Arcade, Indie",93.0,5,0,4,104,0.0,644,6
243206,DreadOut 2,2020-02-21,False,Mature,Adventure,Action,54.0,6,4,8,77,0.0,244,4
795320,Dead by Daylight - Chains of Hate,2020-03-10,False,Mature,Action,no,472.0,6,0,0,0,0.0,359,2
418840,Redistributed: Baldi's Web-Based Basics in Education and Learning 1.4.3 Version,2020-03-11,False,Mature,Educational,no,3.0,4,0,2,5,0.0,5,1
58815,Nioh 2,2020-03-13,False,Mature,Action,no,719.0,3,4,144,1324,85.0,42,2
58777,DOOM Eternal,2020-03-20,False,Mature,Shooter,Action,4184.0,5,5,1302,7439,86.0,681,4
563428,Thunderflash,2020-03-23,False,Mature,Arcade,"Indie, Adventure, Action",19.0,4,0,1,19,0.0,255,3
423420,Freddy Spaghetti,2020-03-27,False,Mature,Adventure,"Action, Casual, Simulation, Indie",19.0,4,0,2,24,0.0,390,4
339958,Persona 5 Royal,2020-03-31,False,Mature,Adventure,RPG,1569.0,6,5,462,2887,94.0,321,3
428052,Sakura Succubus,2020-03-31,False,Mature,Casual,"Adventure, Simulation",122.0,5,1,8,140,0.0,547,2
259801,Final Fantasy VII,2020-04-10,False,Teen,Adventure,"Action, RPG",2929.0,3,5,760,5067,87.0,630,3
368952,SnowRunner,2020-04-28,False,Everyone,Racing,no,1080.0,6,4,265,1604,80.0,558,5
52337,Them's Fightin' Herds,2020-04-30,False,Mature,Indie,"Action, Fighting",638.0,8,4,40,767,82.0,289,3
9551,Deep Rock Galactic,2020-05-13,False,Teen,Indie,Action,3920.0,3,4,618,4797,84.0,543,1
372588,Concept Destruction,2020-05-19,False,Everyone 10+,Racing,"Indie, Action, Simulation",37.0,5,3,7,48,0.0,400,4
45109,Maneater,2020-05-22,False,Mature,Indie,"Adventure, Action, RPG",1895.0,6,4,246,2435,68.0,524,5
426096,Saints Row: The Third Remastered,2020-05-22,False,Mature,Adventure,Action,502.0,5,4,132,867,73.0,650,5
60594,Family Man,2020-05-22,False,Mature,Adventure,RPG,679.0,5,3,7,717,0.0,223,2
415171,Valorant,2020-06-02,False,Teen,Shooter,"Strategy, Action",169.0,3,4,444,888,80.0,470,2
566672,In Rays of the Light,2020-06-04,False,Mature,Adventure,no,34.0,6,0,2,45,0.0,328,2
480743,Little Orpheus,2020-06-12,False,Everyone,Casual,"Platformer, Adventure",98.0,7,4,25,162,69.0,169,3
795328,Dead By Daylight - Silent Hill,2020-06-16,False,Mature,Action,no,1.0,6,0,0,1,0.0,394,2
51325,The Last of Us Part II,2020-06-19,False,Mature,Shooter,"Adventure, Action",3253.0,2,5,1781,6954,93.0,622,1
491016,Mr. DRILLER DrillLand (2020),2020-06-24,False,Everyone,Casual,no,40.0,6,0,1,49,0.0,172,2
426098,TrackMania (2020),2020-07-01,False,Mature,Racing,Massively Multiplayer,49.0,5,4,66,191,74.0,141,2
304182,Beyond a Steel Sky,2020-07-15,False,Teen,Adventure,Action,223.0,7,4,31,336,72.0,69,6
362901,Hunter's Arena: Legends,2020-07-15,False,Mature,Adventure,"Action, RPG, Strategy, Massively Multiplayer",243.0,3,1,27,283,0.0,430,1
58550,Ghost of Tsushima,2020-07-17,False,Mature,Adventure,"Action, RPG",2971.0,3,5,974,5619,83.0,455,2
326221,Röki,2020-07-23,False,Mature,Indie,Adventure,759.0,5,4,53,979,79.0,145,2
259883,Maid of Sker,2020-07-28,False,Mature,Indie,"Adventure, Action",735.0,7,3,35,856,64.0,464,5
22123,Hellpoint,2020-07-30,False,Mature,Indie,"Adventure, Action, RPG",1845.0,8,3,51,2095,61.0,490,4
427873,Ever Forward,2020-08-12,False,Everyone 10+,Casual,"Indie, Strategy, Adventure",42.0,6,3,13,66,65.0,102,5
485221,Giraffe and Annika,2020-08-25,False,Mature,Adventure,no,7.0,5,0,1,16,0.0,280,1
479695,Control Ultimate Edition,2020-08-27,False,Mature,Shooter,"Adventure, Action",854.0,5,5,323,1561,82.0,526,4
52340,Iron Harvest,2020-08-31,False,Mature,Strategy,Action,1226.0,5,4,106,1540,75.0,639,3
384567,Crusader Kings III,2020-09-01,False,Mature,Strategy,"RPG, Simulation",1865.0,5,5,420,2620,86.0,240,1
428966,Paradise Killer,2020-09-03,False,Mature,Indie,"Adventure, RPG",1040.0,6,5,54,1231,84.0,244,3
442847,Tony Hawk's Pro Skater 1 + 2,2020-09-04,False,Teen,Arcade,Sports,1177.0,6,5,222,1773,88.0,301,5
452647,NBA 2K21,2020-09-04,False,Everyone,Simulation,Sports,524.0,6,4,93,702,72.0,39,5
442841,WRC 9 FIA World Rally Championship,2020-09-04,False,Everyone,Racing,"Simulation, Sports",109.0,6,4,16,156,78.0,323,4
795344,Dead by Daylight - Descend Beyond,2020-09-08,False,Mature,Action,no,1.0,6,0,0,1,0.0,412,0
274755,Hades,2020-09-17,False,Teen,Indie,"Adventure, Action, RPG",4835.0,6,5,1878,8310,93.0,604,5
795329,Dead by Daylight - Silent Hill Cosmetic Pack,2020-09-18,False,Mature,Action,no,472.0,6,0,0,0,0.0,385,1
319120,art of rally,2020-09-23,False,Mature,Racing,"Indie, Sports",799.0,7,3,125,1015,78.0,216,5
401805,Genshin Impact,2020-09-28,False,Teen,Adventure,"Action, RPG",2133.0,6,4,1022,3853,83.0,320,3
457729,Crash Bandicoot 4: It’s About Time,2020-10-01,False,Everyone 10+,Platformer,Action,971.0,6,4,187,1656,84.0,470,4
484967,RIDE 4,2020-10-05,False,Everyone,Racing,"Simulation, Sports",128.0,5,4,18,167,75.0,310,3
437049,FIFA 21,2020-10-06,False,Everyone,Sports,no,1309.0,6,4,258,1626,67.0,537,4
427750,Monster Truck Championship,2020-10-15,False,Everyone,Racing,"Simulation, Sports",108.0,4,0,4,116,69.0,277,3
508529,CrossKrush,2020-10-20,False,Mature,Adventure,"Action, Puzzle, Casual, Arcade, Indie",12.0,4,0,0,15,0.0,140,3
72757,Pumpkin Jack,2020-10-23,False,Mature,Indie,"Adventure, Action",748.0,6,4,47,883,76.0,274,6
366850,Ghostrunner,2020-10-27,False,Mature,Action,no,2559.0,6,4,587,4084,0.0,427,5
520302,Aikano ~ Snow Sky Triangle ~,2020-10-29,False,Mature,Adventure,no,2.0,2,0,0,3,0.0,233,0
324992,Watch Dogs: Legion,2020-10-29,False,Mature,Shooter,"Adventure, Action",1145.0,5,3,381,2478,72.0,783,4
520301,Tonari ni Kanojo no Iru Shiawase ~Curious Queen~,2020-10-29,False,Adults Only,Adventure,no,472.0,2,0,0,1,0.0,0,1
530503,South of the Circle,2020-10-30,False,Mature,Adventure,no,274.0,8,4,23,385,76.0,150,3
